Created as New Dataset,PC (polycarbonate) GF
cm-1,%T
3090.00,98.50
3089.00,98.46
3088.00,98.42
3087.00,98.38
3086.00,98.33
3085.00,98.28
3084.00,98.22
3083.00,98.17
3082.00,98.11
3081.00,98.06
3080.00,98.01
3079.00,97.96
3078.00,97.91
3077.00,97.86
3076.00,97.81
3075.00,97.75
3074.00,97.70
3073.00,97.64
3072.00,97.58
3071.00,97.52
3070.00,97.46
3069.00,97.40
3068.00,97.33
3067.00,97.26
3066.00,97.19
3065.00,97.12
3064.00,97.05
3063.00,97.00
3062.00,96.96
3061.00,96.93
3060.00,96.91
3059.00,96.91
3058.00,96.93
3057.00,96.96
3056.00,97.00
3055.00,97.05
3054.00,97.10
3053.00,97.14
3052.00,97.17
3051.00,97.18
3050.00,97.16
3049.00,97.12
3048.00,97.06
3047.00,96.99
3046.00,96.91
3045.00,96.83
3044.00,96.76
3043.00,96.71
3042.00,96.69
3041.00,96.70
3040.00,96.74
3039.00,96.82
3038.00,96.94
3037.00,97.08
3036.00,97.24
3035.00,97.41
3034.00,97.59
3033.00,97.76
3032.00,97.91
3031.00,98.05
3030.00,98.17
3029.00,98.26
3028.00,98.34
3027.00,98.40
3026.00,98.45
3025.00,98.48
3024.00,98.50
3023.00,98.51
3022.00,98.52
3021.00,98.51
3020.00,98.51
3019.00,98.49
3018.00,98.48
3017.00,98.46
3016.00,98.43
3015.00,98.40
3014.00,98.36
3013.00,98.31
3012.00,98.25
3011.00,98.18
3010.00,98.11
3009.00,98.02
3008.00,97.93
3007.00,97.84
3006.00,97.74
3005.00,97.64
3004.00,97.52
3003.00,97.39
3002.00,97.26
3001.00,97.11
3000.00,96.95
2999.00,96.78
2998.00,96.59
2997.00,96.38
2996.00,96.17
2995.00,95.93
2994.00,95.68
2993.00,95.42
2992.00,95.13
2991.00,94.81
2990.00,94.47
2989.00,94.10
2988.00,93.70
2987.00,93.28
2986.00,92.83
2985.00,92.36
2984.00,91.86
2983.00,91.34
2982.00,90.79
2981.00,90.23
2980.00,89.65
2979.00,89.06
2978.00,88.48
2977.00,87.89
2976.00,87.32
2975.00,86.77
2974.00,86.27
2973.00,85.81
2972.00,85.42
2971.00,85.11
2970.00,84.91
2969.00,84.82
2968.00,84.85
2967.00,85.03
2966.00,85.33
2965.00,85.77
2964.00,86.31
2963.00,86.94
2962.00,87.63
2961.00,88.35
2960.00,89.08
2959.00,89.79
2958.00,90.45
2957.00,91.05
2956.00,91.59
2955.00,92.05
2954.00,92.43
2953.00,92.74
2952.00,92.97
2951.00,93.15
2950.00,93.27
2949.00,93.33
2948.00,93.36
2947.00,93.36
2946.00,93.33
2945.00,93.28
2944.00,93.22
2943.00,93.13
2942.00,93.04
2941.00,92.93
2940.00,92.82
2939.00,92.71
2938.00,92.59
2937.00,92.49
2936.00,92.41
2935.00,92.35
2934.00,92.33
2933.00,92.35
2932.00,92.40
2931.00,92.49
2930.00,92.61
2929.00,92.76
2928.00,92.92
2927.00,93.10
2926.00,93.29
2925.00,93.47
2924.00,93.65
2923.00,93.82
2922.00,93.98
2921.00,94.12
2920.00,94.24
2919.00,94.35
2918.00,94.45
2917.00,94.53
2916.00,94.62
2915.00,94.70
2914.00,94.78
2913.00,94.86
2912.00,94.96
2911.00,95.07
2910.00,95.19
2909.00,95.31
2908.00,95.45
2907.00,95.58
2906.00,95.71
2905.00,95.83
2904.00,95.94
2903.00,96.02
2902.00,96.09
2901.00,96.13
2900.00,96.14
2899.00,96.14
2898.00,96.12
2897.00,96.09
2896.00,96.06
2895.00,96.03
2894.00,96.01
2893.00,96.01
2892.00,96.03
2891.00,96.06
2890.00,96.09
2889.00,96.14
2888.00,96.17
2887.00,96.19
2886.00,96.18
2885.00,96.14
2884.00,96.06
2883.00,95.95
2882.00,95.81
2881.00,95.65
2880.00,95.47
2879.00,95.29
2878.00,95.12
2877.00,94.96
2876.00,94.84
2875.00,94.76
2874.00,94.74
2873.00,94.78
2872.00,94.88
2871.00,95.05
2870.00,95.27
2869.00,95.53
2868.00,95.82
2867.00,96.12
2866.00,96.40
2865.00,96.66
2864.00,96.88
2863.00,97.07
2862.00,97.21
2861.00,97.32
2860.00,97.40
2859.00,97.45
2858.00,97.48
2857.00,97.51
2856.00,97.52
2855.00,97.54
2854.00,97.57
2853.00,97.61
2852.00,97.66
2851.00,97.74
2850.00,97.85
2849.00,97.97
2848.00,98.12
2847.00,98.26
2846.00,98.40
2845.00,98.53
2844.00,98.64
2843.00,98.74
2842.00,98.83
2841.00,98.90
2840.00,98.96
2839.00,99.01
2838.00,99.06
2837.00,99.09
2836.00,99.13
2835.00,99.15
2834.00,99.17
2833.00,99.19
2832.00,99.20
2831.00,99.21
2830.00,99.22
2829.00,99.23
2828.00,99.24
2827.00,99.25
2826.00,99.26
2825.00,99.27
2824.00,99.27
2823.00,99.28
2822.00,99.28
2821.00,99.28
2820.00,99.28
2819.00,99.29
2818.00,99.29
2817.00,99.29
2816.00,99.29
2815.00,99.28
2814.00,99.28
2813.00,99.27
2812.00,99.27
2811.00,99.27
2810.00,99.27
2809.00,99.28
2808.00,99.28
2807.00,99.29
2806.00,99.30
2805.00,99.31
2804.00,99.32
2803.00,99.33
2802.00,99.35
2801.00,99.36
2800.00,99.36
2799.00,99.37
2798.00,99.38
2797.00,99.38
2796.00,99.38
2795.00,99.38
