Created as New Dataset,Nylon (6) GF
cm-1,%T
2937.00,69.62
2936.00,69.20
2935.00,68.84
2934.00,68.56
2933.00,68.36
2932.00,68.24
2931.00,68.19
2930.00,68.19
2929.00,68.25
2928.00,68.35
2927.00,68.48
2926.00,68.66
2925.00,68.88
2924.00,69.14
2923.00,69.46
2922.00,69.84
2921.00,70.28
2920.00,70.81
2919.00,71.41
2918.00,72.08
2917.00,72.82
2916.00,73.61
2915.00,74.45
2914.00,75.29
2913.00,76.11
2912.00,76.90
2911.00,77.63
2910.00,78.31
2909.00,78.94
2908.00,79.53
2907.00,80.07
2906.00,80.58
2905.00,81.05
2904.00,81.48
2903.00,81.88
2902.00,82.25
2901.00,82.60
2900.00,82.93
2899.00,83.26
2898.00,83.61
2897.00,83.96
2896.00,84.33
2895.00,84.69
2894.00,85.05
2893.00,85.39
2892.00,85.70
2891.00,85.97
2890.00,86.20
2889.00,86.39
2888.00,86.52
2887.00,86.61
2886.00,86.64
2885.00,86.61
2884.00,86.52
2883.00,86.37
2882.00,86.15
2881.00,85.86
2880.00,85.50
2879.00,85.09
2878.00,84.63
2877.00,84.13
2876.00,83.60
2875.00,83.05
2874.00,82.49
2873.00,81.94
2872.00,81.41
2871.00,80.90
2870.00,80.42
2869.00,79.94
2868.00,79.49
2867.00,79.03
2866.00,78.59
2865.00,78.14
2864.00,77.71
2863.00,77.31
2862.00,76.94
2861.00,76.64
2860.00,76.40
2859.00,76.25
2858.00,76.20
2857.00,76.27
2856.00,76.47
2855.00,76.80
2854.00,77.25
2853.00,77.83
2852.00,78.54
2851.00,79.38
2850.00,80.36
2849.00,81.47
2848.00,82.69
2847.00,83.96
2846.00,85.24
2845.00,86.48
2844.00,87.64
2843.00,88.69
2842.00,89.62
2841.00,90.42
2840.00,91.09
2839.00,91.65
2838.00,92.13
2837.00,92.53
2836.00,92.86
2835.00,93.15
2834.00,93.40
2833.00,93.61
2832.00,93.81
2831.00,93.98
2830.00,94.13
2829.00,94.27
2828.00,94.39
2827.00,94.51
2826.00,94.62
2825.00,94.72
2824.00,94.82
2823.00,94.91
2822.00,95.00
2821.00,95.09
2820.00,95.19
2819.00,95.28
2818.00,95.38
2817.00,95.47
2816.00,95.56
2815.00,95.65
2814.00,95.74
2813.00,95.83
2812.00,95.91
2811.00,95.99
2810.00,96.06
2809.00,96.13
2808.00,96.20
2807.00,96.26
2806.00,96.31
2805.00,96.37
2804.00,96.42
2803.00,96.46
2802.00,96.51
2801.00,96.55
2800.00,96.60
2799.00,96.64
2798.00,96.68
2797.00,96.72
2796.00,96.77
2795.00,96.81
2794.00,96.85
2793.00,96.89
2792.00,96.93
2791.00,96.97
2790.00,97.01
2789.00,97.05
2788.00,97.09
2787.00,97.12
2786.00,97.16
2785.00,97.20
2784.00,97.23
2783.00,97.27
2782.00,97.30
2781.00,97.33
2780.00,97.36
