Created as New Dataset,SAN (30% acrylonitrile)
cm-1,%T
2645.00,97.86
2644.00,97.85
2643.00,97.85
2642.00,97.85
2641.00,97.84
2640.00,97.83
2639.00,97.83
2638.00,97.82
2637.00,97.82
2636.00,97.82
2635.00,97.82
2634.00,97.82
2633.00,97.83
2632.00,97.83
2631.00,97.84
2630.00,97.85
2629.00,97.85
2628.00,97.85
2627.00,97.85
2626.00,97.85
2625.00,97.85
2624.00,97.85
2623.00,97.85
2622.00,97.85
2621.00,97.85
2620.00,97.86
2619.00,97.86
2618.00,97.86
2617.00,97.86
2616.00,97.86
2615.00,97.86
2614.00,97.86
2613.00,97.86
2612.00,97.85
2611.00,97.85
2610.00,97.84
2609.00,97.84
2608.00,97.84
2607.00,97.84
2606.00,97.84
2605.00,97.84
2604.00,97.84
2603.00,97.84
2602.00,97.84
2601.00,97.84
2600.00,97.84
2599.00,97.85
2598.00,97.86
2597.00,97.87
2596.00,97.87
2595.00,97.88
2594.00,97.88
2593.00,97.87
2592.00,97.87
2591.00,97.87
2590.00,97.87
2589.00,97.87
2588.00,97.87
2587.00,97.87
2586.00,97.87
2585.00,97.87
2584.00,97.87
2583.00,97.87
2582.00,97.87
2581.00,97.87
2580.00,97.87
2579.00,97.87
2578.00,97.87
2577.00,97.87
2576.00,97.88
2575.00,97.88
2574.00,97.89
2573.00,97.88
2572.00,97.88
2571.00,97.88
2570.00,97.88
2569.00,97.88
2568.00,97.89
2567.00,97.89
2566.00,97.89
2565.00,97.88
2564.00,97.88
2563.00,97.88
2562.00,97.88
2561.00,97.88
2560.00,97.89
2559.00,97.89
2558.00,97.89
2557.00,97.90
2556.00,97.91
2555.00,97.91
2554.00,97.90
2553.00,97.90
2552.00,97.89
2551.00,97.89
2550.00,97.89
2549.00,97.89
2548.00,97.90
2547.00,97.90
2546.00,97.90
2545.00,97.90
2544.00,97.90
2543.00,97.89
2542.00,97.90
2541.00,97.90
2540.00,97.90
2539.00,97.90
2538.00,97.91
2537.00,97.91
2536.00,97.90
2535.00,97.91
2534.00,97.90
2533.00,97.90
2532.00,97.90
2531.00,97.89
2530.00,97.89
2529.00,97.89
2528.00,97.89
2527.00,97.89
2526.00,97.90
2525.00,97.89
2524.00,97.89
2523.00,97.89
2522.00,97.90
2521.00,97.90
2520.00,97.90
2519.00,97.90
2518.00,97.90
2517.00,97.90
2516.00,97.90
2515.00,97.90
2514.00,97.91
2513.00,97.91
2512.00,97.91
2511.00,97.91
2510.00,97.91
2509.00,97.92
2508.00,97.92
2507.00,97.92
2506.00,97.92
2505.00,97.91
2504.00,97.91
2503.00,97.91
2502.00,97.91
2501.00,97.91
2500.00,97.91
2499.00,97.92
2498.00,97.92
2497.00,97.92
2496.00,97.92
2495.00,97.92
2494.00,97.91
2493.00,97.91
2492.00,97.91
2491.00,97.91
2490.00,97.91
2489.00,97.91
2488.00,97.91
2487.00,97.92
2486.00,97.92
2485.00,97.93
2484.00,97.93
2483.00,97.94
2482.00,97.94
2481.00,97.94
2480.00,97.94
2479.00,97.95
2478.00,97.94
2477.00,97.94
2476.00,97.94
2475.00,97.94
2474.00,97.94
2473.00,97.93
2472.00,97.93
2471.00,97.94
2470.00,97.94
2469.00,97.94
2468.00,97.95
2467.00,97.95
2466.00,97.94
2465.00,97.94
2464.00,97.93
