Created as New Dataset,PK (polyketone) GF
cm-1,%T
2997.00,97.85
2996.00,97.80
2995.00,97.75
2994.00,97.70
2993.00,97.65
2992.00,97.60
2991.00,97.54
2990.00,97.48
2989.00,97.43
2988.00,97.36
2987.00,97.30
2986.00,97.24
2985.00,97.17
2984.00,97.11
2983.00,97.04
2982.00,96.98
2981.00,96.91
2980.00,96.84
2979.00,96.78
2978.00,96.72
2977.00,96.66
2976.00,96.60
2975.00,96.54
2974.00,96.49
2973.00,96.43
2972.00,96.38
2971.00,96.34
2970.00,96.30
2969.00,96.26
2968.00,96.23
2967.00,96.20
2966.00,96.17
2965.00,96.14
2964.00,96.10
2963.00,96.06
2962.00,96.02
2961.00,95.98
2960.00,95.93
2959.00,95.88
2958.00,95.82
2957.00,95.77
2956.00,95.72
2955.00,95.67
2954.00,95.62
2953.00,95.56
2952.00,95.51
2951.00,95.45
2950.00,95.39
2949.00,95.33
2948.00,95.28
2947.00,95.22
2946.00,95.16
2945.00,95.11
2944.00,95.04
2943.00,94.98
2942.00,94.92
2941.00,94.85
2940.00,94.79
2939.00,94.72
2938.00,94.65
2937.00,94.57
2936.00,94.49
2935.00,94.39
2934.00,94.29
2933.00,94.17
2932.00,94.03
2931.00,93.87
2930.00,93.69
2929.00,93.48
2928.00,93.24
2927.00,92.96
2926.00,92.63
2925.00,92.27
2924.00,91.87
2923.00,91.43
2922.00,90.98
2921.00,90.54
2920.00,90.14
2919.00,89.80
2918.00,89.55
2917.00,89.38
2916.00,89.28
2915.00,89.24
2914.00,89.26
2913.00,89.32
2912.00,89.42
2911.00,89.56
2910.00,89.74
2909.00,89.95
2908.00,90.19
2907.00,90.45
2906.00,90.73
2905.00,91.03
2904.00,91.33
2903.00,91.65
2902.00,91.98
2901.00,92.31
2900.00,92.65
2899.00,92.99
2898.00,93.33
2897.00,93.66
2896.00,93.98
2895.00,94.28
2894.00,94.58
2893.00,94.85
2892.00,95.11
2891.00,95.34
2890.00,95.56
2889.00,95.75
