Created as New Dataset,PMMA Scientific
cm-1,%T
3148.00,99.18
3147.00,99.18
3146.00,99.18
3145.00,99.18
3144.00,99.18
3143.00,99.18
3142.00,99.19
3141.00,99.19
3140.00,99.19
3139.00,99.19
3138.00,99.18
3137.00,99.18
3136.00,99.19
3135.00,99.19
3134.00,99.20
3133.00,99.20
3132.00,99.19
3131.00,99.19
3130.00,99.19
3129.00,99.18
3128.00,99.18
3127.00,99.18
3126.00,99.18
3125.00,99.18
3124.00,99.18
3123.00,99.18
3122.00,99.18
3121.00,99.18
3120.00,99.18
3119.00,99.19
3118.00,99.19
3117.00,99.19
3116.00,99.19
3115.00,99.19
3114.00,99.19
3113.00,99.18
3112.00,99.18
3111.00,99.18
3110.00,99.18
3109.00,99.18
3108.00,99.18
3107.00,99.17
3106.00,99.18
3105.00,99.18
3104.00,99.18
3103.00,99.18
3102.00,99.18
3101.00,99.18
3100.00,99.18
3099.00,99.18
3098.00,99.17
3097.00,99.17
3096.00,99.17
3095.00,99.17
3094.00,99.17
3093.00,99.17
3092.00,99.16
3091.00,99.16
3090.00,99.16
3089.00,99.16
3088.00,99.15
3087.00,99.15
3086.00,99.15
3085.00,99.16
3084.00,99.16
3083.00,99.17
3082.00,99.16
3081.00,99.16
3080.00,99.15
3079.00,99.15
3078.00,99.14
3077.00,99.14
3076.00,99.14
3075.00,99.14
3074.00,99.13
3073.00,99.13
3072.00,99.12
3071.00,99.12
3070.00,99.12
3069.00,99.12
3068.00,99.11
3067.00,99.11
3066.00,99.10
3065.00,99.09
3064.00,99.09
3063.00,99.08
3062.00,99.07
3061.00,99.06
3060.00,99.05
3059.00,99.04
3058.00,99.03
3057.00,99.02
3056.00,99.01
3055.00,98.99
3054.00,98.98
3053.00,98.96
3052.00,98.95
3051.00,98.93
3050.00,98.92
3049.00,98.90
3048.00,98.87
3047.00,98.85
3046.00,98.82
3045.00,98.79
3044.00,98.77
3043.00,98.74
3042.00,98.71
3041.00,98.68
3040.00,98.65
3039.00,98.62
3038.00,98.58
3037.00,98.54
3036.00,98.50
3035.00,98.46
3034.00,98.42
3033.00,98.38
3032.00,98.34
3031.00,98.29
3030.00,98.25
3029.00,98.20
3028.00,98.15
3027.00,98.11
3026.00,98.06
3025.00,98.01
3024.00,97.96
3023.00,97.91
3022.00,97.85
3021.00,97.80
3020.00,97.74
3019.00,97.69
3018.00,97.63
3017.00,97.58
3016.00,97.52
3015.00,97.46
3014.00,97.40
3013.00,97.34
3012.00,97.28
3011.00,97.22
3010.00,97.16
3009.00,97.09
3008.00,97.03
3007.00,96.96
3006.00,96.90
3005.00,96.84
3004.00,96.78
3003.00,96.72
3002.00,96.67
3001.00,96.62
3000.00,96.57
2999.00,96.54
2998.00,96.51
2997.00,96.48
2996.00,96.47
2995.00,96.47
2994.00,96.47
2993.00,96.48
2992.00,96.50
2991.00,96.53
2990.00,96.57
2989.00,96.61
2988.00,96.66
2987.00,96.72
2986.00,96.78
2985.00,96.84
2984.00,96.91
2983.00,96.97
2982.00,97.04
2981.00,97.11
2980.00,97.17
2979.00,97.22
2978.00,97.27
2977.00,97.31
2976.00,97.33
2975.00,97.34
2974.00,97.33
2973.00,97.31
2972.00,97.27
2971.00,97.23
2970.00,97.17
2969.00,97.10
2968.00,97.02
2967.00,96.92
2966.00,96.81
2965.00,96.69
2964.00,96.56
2963.00,96.41
2962.00,96.26
2961.00,96.10
2960.00,95.94
2959.00,95.77
2958.00,95.60
2957.00,95.43
2956.00,95.28
2955.00,95.14
2954.00,95.02
2953.00,94.92
2952.00,94.86
2951.00,94.83
2950.00,94.84
2949.00,94.89
2948.00,94.98
2947.00,95.11
2946.00,95.25
2945.00,95.40
2944.00,95.56
2943.00,95.71
2942.00,95.84
2941.00,95.95
2940.00,96.05
2939.00,96.14
2938.00,96.21
2937.00,96.27
2936.00,96.33
2935.00,96.37
2934.00,96.41
2933.00,96.44
2932.00,96.48
2931.00,96.52
2930.00,96.55
2929.00,96.59
2928.00,96.63
2927.00,96.67
2926.00,96.71
2925.00,96.76
2924.00,96.80
2923.00,96.84
2922.00,96.88
2921.00,96.93
2920.00,96.97
2919.00,97.02
2918.00,97.06
2917.00,97.10
2916.00,97.14
2915.00,97.18
2914.00,97.22
2913.00,97.26
2912.00,97.30
2911.00,97.34
2910.00,97.37
2909.00,97.40
2908.00,97.44
2907.00,97.47
2906.00,97.51
2905.00,97.55
2904.00,97.59
2903.00,97.63
2902.00,97.67
2901.00,97.70
2900.00,97.74
2899.00,97.77
2898.00,97.80
2897.00,97.83
2896.00,97.86
2895.00,97.89
2894.00,97.91
2893.00,97.93
2892.00,97.95
2891.00,97.97
2890.00,97.99
2889.00,98.02
2888.00,98.04
2887.00,98.06
2886.00,98.08
2885.00,98.11
2884.00,98.14
2883.00,98.18
2882.00,98.21
2881.00,98.25
2880.00,98.28
2879.00,98.31
2878.00,98.34
2877.00,98.37
2876.00,98.40
2875.00,98.42
2874.00,98.45
2873.00,98.47
2872.00,98.49
2871.00,98.51
2870.00,98.53
2869.00,98.55
2868.00,98.56
2867.00,98.57
2866.00,98.58
2865.00,98.58
2864.00,98.58
2863.00,98.58
2862.00,98.58
2861.00,98.58
2860.00,98.57
2859.00,98.57
2858.00,98.56
2857.00,98.55
2856.00,98.55
2855.00,98.53
2854.00,98.52
2853.00,98.51
2852.00,98.50
2851.00,98.48
2850.00,98.47
2849.00,98.45
2848.00,98.44
2847.00,98.43
2846.00,98.43
2845.00,98.43
2844.00,98.43
2843.00,98.43
2842.00,98.44
2841.00,98.46
2840.00,98.48
2839.00,98.51
2838.00,98.54
2837.00,98.58
2836.00,98.62
2835.00,98.65
2834.00,98.68
2833.00,98.71
2832.00,98.74
2831.00,98.77
2830.00,98.80
2829.00,98.82
2828.00,98.85
2827.00,98.87
2826.00,98.89
2825.00,98.90
2824.00,98.92
2823.00,98.93
2822.00,98.94
2821.00,98.96
2820.00,98.97
2819.00,98.98
2818.00,98.99
2817.00,99.00
2816.00,99.01
2815.00,99.02
2814.00,99.03
2813.00,99.04
2812.00,99.05
2811.00,99.05
2810.00,99.06
2809.00,99.06
2808.00,99.07
2807.00,99.08
2806.00,99.08
2805.00,99.08
2804.00,99.09
2803.00,99.09
2802.00,99.09
2801.00,99.10
2800.00,99.10
2799.00,99.10
2798.00,99.10
2797.00,99.11
2796.00,99.11
2795.00,99.11
2794.00,99.11
2793.00,99.11
2792.00,99.11
2791.00,99.12
2790.00,99.12
2789.00,99.12
2788.00,99.12
2787.00,99.12
2786.00,99.12
2785.00,99.12
2784.00,99.12
2783.00,99.13
2782.00,99.13
2781.00,99.13
2780.00,99.13
2779.00,99.13
2778.00,99.13
2777.00,99.13
2776.00,99.13
2775.00,99.13
2774.00,99.13
2773.00,99.13
2772.00,99.13
2771.00,99.13
2770.00,99.13
2769.00,99.13
2768.00,99.13
2767.00,99.13
2766.00,99.14
2765.00,99.14
2764.00,99.14
2763.00,99.14
2762.00,99.14
2761.00,99.14
2760.00,99.14
2759.00,99.15
2758.00,99.15
2757.00,99.15
2756.00,99.15
2755.00,99.15
2754.00,99.15
2753.00,99.15
2752.00,99.16
2751.00,99.16
2750.00,99.16
2749.00,99.16
2748.00,99.16
2747.00,99.16
2746.00,99.16
2745.00,99.16
2744.00,99.16
2743.00,99.16
2742.00,99.16
2741.00,99.16
2740.00,99.17
2739.00,99.17
2738.00,99.17
2737.00,99.17
2736.00,99.17
2735.00,99.17
2734.00,99.18
2733.00,99.18
2732.00,99.18
2731.00,99.18
2730.00,99.18
2729.00,99.18
2728.00,99.18
2727.00,99.18
2726.00,99.18
2725.00,99.18
2724.00,99.19
2723.00,99.19
2722.00,99.19
2721.00,99.19
2720.00,99.20
2719.00,99.20
2718.00,99.20
2717.00,99.20
2716.00,99.20
2715.00,99.20
2714.00,99.20
2713.00,99.21
2712.00,99.20
2711.00,99.20
2710.00,99.20
2709.00,99.20
2708.00,99.20
2707.00,99.20
2706.00,99.20
2705.00,99.20
2704.00,99.21
2703.00,99.21
2702.00,99.21
2701.00,99.21
2700.00,99.21
2699.00,99.21
2698.00,99.21
2697.00,99.21
2696.00,99.20
2695.00,99.20
2694.00,99.20
2693.00,99.20
2692.00,99.20
2691.00,99.21
2690.00,99.21
2689.00,99.21
2688.00,99.21
2687.00,99.21
2686.00,99.21
2685.00,99.21
2684.00,99.21
2683.00,99.21
2682.00,99.21
2681.00,99.21
2680.00,99.21
2679.00,99.21
2678.00,99.21
2677.00,99.21
2676.00,99.20
2675.00,99.20
2674.00,99.20
2673.00,99.20
2672.00,99.20
2671.00,99.20
2670.00,99.20
2669.00,99.20
2668.00,99.20
2667.00,99.19
2666.00,99.19
2665.00,99.18
2664.00,99.17
2663.00,99.16
2662.00,99.15
2661.00,99.14
2660.00,99.13
2659.00,99.12
2658.00,99.11
2657.00,99.11
2656.00,99.10
2655.00,99.09
2654.00,99.09
2653.00,99.08
2652.00,99.08
2651.00,99.07
2650.00,99.07
2649.00,99.07
2648.00,99.07
2647.00,99.06
2646.00,99.06
2645.00,99.06
2644.00,99.06
2643.00,99.06
2642.00,99.06
2641.00,99.06
2640.00,99.06
2639.00,99.06
2638.00,99.06
2637.00,99.06
2636.00,99.06
2635.00,99.06
2634.00,99.06
2633.00,99.06
2632.00,99.06
2631.00,99.06
2630.00,99.06
2629.00,99.06
2628.00,99.06
2627.00,99.06
2626.00,99.06
2625.00,99.07
2624.00,99.06
2623.00,99.06
2622.00,99.06
2621.00,99.06
2620.00,99.06
2619.00,99.06
2618.00,99.06
2617.00,99.07
2616.00,99.07
2615.00,99.07
2614.00,99.07
2613.00,99.07
2612.00,99.06
2611.00,99.06
2610.00,99.06
2609.00,99.06
2608.00,99.05
2607.00,99.05
2606.00,99.05
2605.00,99.06
2604.00,99.06
2603.00,99.06
2602.00,99.06
2601.00,99.07
2600.00,99.07
2599.00,99.07
2598.00,99.07
2597.00,99.07
2596.00,99.06
2595.00,99.06
2594.00,99.06
2593.00,99.06
2592.00,99.06
2591.00,99.07
2590.00,99.07
2589.00,99.07
2588.00,99.07
2587.00,99.08
2586.00,99.08
2585.00,99.08
2584.00,99.08
2583.00,99.08
2582.00,99.09
2581.00,99.09
2580.00,99.09
2579.00,99.09
2578.00,99.09
2577.00,99.09
2576.00,99.09
2575.00,99.09
2574.00,99.10
2573.00,99.10
2572.00,99.10
2571.00,99.10
2570.00,99.10
2569.00,99.10
2568.00,99.10
2567.00,99.11
2566.00,99.10
2565.00,99.10
2564.00,99.11
2563.00,99.11
2562.00,99.12
2561.00,99.12
2560.00,99.12
2559.00,99.11
2558.00,99.11
2557.00,99.11
2556.00,99.12
2555.00,99.12
2554.00,99.12
2553.00,99.12
2552.00,99.12
2551.00,99.12
2550.00,99.12
2549.00,99.12
2548.00,99.13
2547.00,99.13
2546.00,99.14
2545.00,99.14
2544.00,99.13
2543.00,99.13
2542.00,99.13
2541.00,99.13
2540.00,99.13
2539.00,99.14
2538.00,99.14
2537.00,99.14
2536.00,99.14
2535.00,99.14
2534.00,99.14
2533.00,99.14
2532.00,99.14
2531.00,99.14
2530.00,99.15
2529.00,99.15
2528.00,99.15
2527.00,99.16
2526.00,99.16
2525.00,99.16
2524.00,99.16
2523.00,99.16
2522.00,99.16
2521.00,99.16
2520.00,99.16
2519.00,99.16
2518.00,99.17
2517.00,99.17
2516.00,99.17
2515.00,99.17
2514.00,99.17
2513.00,99.17
2512.00,99.18
2511.00,99.18
2510.00,99.18
2509.00,99.18
2508.00,99.18
2507.00,99.18
2506.00,99.18
2505.00,99.18
2504.00,99.18
2503.00,99.18
2502.00,99.19
2501.00,99.19
2500.00,99.19
2499.00,99.19
2498.00,99.19
2497.00,99.18
2496.00,99.18
2495.00,99.18
2494.00,99.18
2493.00,99.18
2492.00,99.18
2491.00,99.18
2490.00,99.19
2489.00,99.19
2488.00,99.19
2487.00,99.19
2486.00,99.19
2485.00,99.19
2484.00,99.19
2483.00,99.19
2482.00,99.19
2481.00,99.19
2480.00,99.19
2479.00,99.19
2478.00,99.19
2477.00,99.19
2476.00,99.18
2475.00,99.18
2474.00,99.18
2473.00,99.17
2472.00,99.17
2471.00,99.18
2470.00,99.18
2469.00,99.18
2468.00,99.18
2467.00,99.18
2466.00,99.18
2465.00,99.18
2464.00,99.17
2463.00,99.17
2462.00,99.17
2461.00,99.17
2460.00,99.17
