Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
3477.00,99.26
3476.00,99.26
3475.00,99.26
3474.00,99.26
3473.00,99.26
3472.00,99.26
3471.00,99.26
3470.00,99.26
3469.00,99.26
3468.00,99.26
3467.00,99.26
3466.00,99.25
3465.00,99.25
3464.00,99.25
3463.00,99.25
3462.00,99.25
3461.00,99.25
3460.00,99.25
3459.00,99.25
3458.00,99.25
3457.00,99.25
3456.00,99.25
3455.00,99.25
3454.00,99.25
3453.00,99.25
3452.00,99.25
3451.00,99.25
3450.00,99.25
3449.00,99.25
3448.00,99.24
3447.00,99.24
3446.00,99.24
3445.00,99.24
3444.00,99.24
3443.00,99.25
3442.00,99.25
3441.00,99.24
3440.00,99.24
3439.00,99.24
3438.00,99.24
3437.00,99.24
3436.00,99.24
3435.00,99.24
3434.00,99.24
3433.00,99.24
3432.00,99.24
3431.00,99.24
3430.00,99.25
3429.00,99.25
3428.00,99.25
3427.00,99.24
3426.00,99.24
3425.00,99.24
3424.00,99.25
3423.00,99.25
3422.00,99.25
3421.00,99.25
3420.00,99.25
3419.00,99.26
3418.00,99.26
3417.00,99.25
3416.00,99.25
3415.00,99.25
3414.00,99.24
3413.00,99.25
3412.00,99.25
3411.00,99.25
3410.00,99.25
3409.00,99.25
3408.00,99.25
3407.00,99.25
3406.00,99.25
3405.00,99.25
3404.00,99.25
3403.00,99.25
3402.00,99.25
3401.00,99.25
3400.00,99.24
3399.00,99.24
3398.00,99.24
3397.00,99.24
3396.00,99.24
3395.00,99.24
3394.00,99.24
3393.00,99.24
3392.00,99.25
3391.00,99.25
3390.00,99.25
3389.00,99.24
3388.00,99.24
3387.00,99.24
3386.00,99.23
3385.00,99.23
3384.00,99.23
3383.00,99.23
3382.00,99.24
3381.00,99.24
3380.00,99.23
3379.00,99.23
3378.00,99.23
3377.00,99.23
3376.00,99.23
3375.00,99.23
3374.00,99.23
3373.00,99.23
3372.00,99.23
3371.00,99.23
3370.00,99.23
3369.00,99.23
3368.00,99.23
3367.00,99.23
3366.00,99.24
3365.00,99.24
3364.00,99.24
3363.00,99.24
3362.00,99.24
3361.00,99.24
3360.00,99.24
3359.00,99.25
3358.00,99.25
