Created as New Dataset,PS 280kDa Sigma
cm-1,%T
3023.00,91.81
3022.00,92.17
3021.00,92.58
3020.00,93.00
3019.00,93.40
3018.00,93.76
3017.00,94.08
3016.00,94.34
3015.00,94.57
3014.00,94.75
3013.00,94.89
3012.00,95.00
3011.00,95.08
3010.00,95.13
3009.00,95.15
3008.00,95.15
3007.00,95.14
3006.00,95.11
3005.00,95.07
3004.00,95.04
3003.00,95.02
3002.00,95.02
3001.00,95.05
3000.00,95.11
2999.00,95.19
2998.00,95.29
2997.00,95.39
2996.00,95.49
2995.00,95.58
2994.00,95.66
2993.00,95.72
2992.00,95.77
2991.00,95.81
2990.00,95.85
2989.00,95.88
2988.00,95.90
2987.00,95.92
2986.00,95.93
2985.00,95.94
2984.00,95.95
2983.00,95.96
2982.00,95.96
2981.00,95.97
2980.00,95.97
2979.00,95.97
2978.00,95.97
2977.00,95.97
2976.00,95.97
2975.00,95.98
2974.00,95.98
2973.00,95.98
2972.00,95.98
2971.00,95.97
2970.00,95.96
2969.00,95.95
2968.00,95.94
2967.00,95.92
2966.00,95.90
2965.00,95.88
2964.00,95.85
2963.00,95.83
2962.00,95.80
2961.00,95.76
2960.00,95.72
2959.00,95.68
2958.00,95.63
2957.00,95.57
2956.00,95.52
2955.00,95.45
2954.00,95.38
2953.00,95.31
2952.00,95.23
2951.00,95.15
2950.00,95.06
2949.00,94.96
2948.00,94.85
2947.00,94.74
2946.00,94.62
2945.00,94.49
2944.00,94.36
2943.00,94.21
2942.00,94.05
2941.00,93.89
2940.00,93.71
2939.00,93.53
2938.00,93.34
2937.00,93.14
2936.00,92.93
2935.00,92.72
2934.00,92.50
2933.00,92.28
2932.00,92.07
2931.00,91.85
2930.00,91.65
2929.00,91.45
2928.00,91.27
2927.00,91.10
2926.00,90.95
2925.00,90.82
2924.00,90.71
2923.00,90.62
2922.00,90.56
2921.00,90.51
2920.00,90.49
2919.00,90.49
2918.00,90.51
2917.00,90.55
2916.00,90.61
2915.00,90.67
2914.00,90.76
2913.00,90.85
2912.00,90.95
2911.00,91.06
2910.00,91.18
2909.00,91.31
2908.00,91.44
2907.00,91.57
2906.00,91.71
2905.00,91.86
2904.00,92.01
2903.00,92.16
2902.00,92.31
2901.00,92.46
2900.00,92.62
2899.00,92.76
2898.00,92.90
2897.00,93.03
2896.00,93.15
2895.00,93.26
2894.00,93.36
2893.00,93.46
2892.00,93.54
2891.00,93.62
2890.00,93.68
2889.00,93.75
2888.00,93.81
2887.00,93.86
2886.00,93.92
2885.00,93.98
2884.00,94.03
2883.00,94.08
2882.00,94.13
2881.00,94.18
2880.00,94.23
2879.00,94.28
2878.00,94.32
2877.00,94.37
