Created as New Dataset,PP 12kDa Sigma
cm-1,%T
2767.00,98.05
2766.00,98.05
2765.00,98.06
2764.00,98.07
2763.00,98.09
2762.00,98.10
2761.00,98.11
2760.00,98.13
2759.00,98.14
2758.00,98.15
2757.00,98.15
2756.00,98.16
2755.00,98.16
2754.00,98.16
2753.00,98.17
2752.00,98.17
2751.00,98.17
2750.00,98.17
2749.00,98.16
2748.00,98.15
2747.00,98.15
2746.00,98.14
2745.00,98.12
2744.00,98.11
2743.00,98.09
2742.00,98.07
2741.00,98.05
2740.00,98.02
2739.00,98.00
2738.00,97.97
2737.00,97.94
2736.00,97.91
2735.00,97.89
2734.00,97.86
2733.00,97.83
2732.00,97.79
2731.00,97.75
2730.00,97.70
2729.00,97.66
2728.00,97.60
2727.00,97.55
2726.00,97.51
2725.00,97.47
2724.00,97.45
2723.00,97.45
2722.00,97.47
2721.00,97.51
2720.00,97.56
2719.00,97.62
2718.00,97.68
2717.00,97.74
2716.00,97.79
2715.00,97.84
2714.00,97.88
2713.00,97.92
2712.00,97.96
2711.00,97.99
2710.00,98.02
2709.00,98.05
2708.00,98.08
2707.00,98.11
2706.00,98.13
2705.00,98.15
2704.00,98.17
2703.00,98.19
2702.00,98.20
2701.00,98.22
2700.00,98.23
2699.00,98.24
2698.00,98.24
2697.00,98.25
2696.00,98.26
2695.00,98.26
2694.00,98.26
2693.00,98.26
2692.00,98.26
2691.00,98.26
2690.00,98.26
2689.00,98.26
2688.00,98.26
2687.00,98.26
2686.00,98.26
2685.00,98.26
2684.00,98.26
2683.00,98.26
2682.00,98.26
2681.00,98.26
2680.00,98.26
2679.00,98.26
2678.00,98.26
2677.00,98.26
2676.00,98.26
2675.00,98.27
2674.00,98.27
2673.00,98.28
2672.00,98.28
2671.00,98.29
2670.00,98.29
2669.00,98.29
2668.00,98.29
2667.00,98.28
2666.00,98.28
2665.00,98.27
2664.00,98.25
2663.00,98.24
2662.00,98.23
2661.00,98.22
2660.00,98.22
2659.00,98.21
2658.00,98.21
2657.00,98.21
2656.00,98.21
2655.00,98.22
2654.00,98.22
2653.00,98.23
2652.00,98.23
2651.00,98.24
2650.00,98.24
2649.00,98.25
2648.00,98.25
2647.00,98.26
2646.00,98.27
2645.00,98.27
2644.00,98.28
2643.00,98.28
2642.00,98.29
2641.00,98.29
2640.00,98.30
2639.00,98.30
2638.00,98.31
2637.00,98.31
2636.00,98.31
2635.00,98.31
2634.00,98.31
2633.00,98.32
2632.00,98.31
2631.00,98.31
2630.00,98.30
2629.00,98.30
2628.00,98.29
2627.00,98.28
2626.00,98.27
2625.00,98.27
2624.00,98.26
2623.00,98.25
2622.00,98.25
2621.00,98.25
2620.00,98.25
2619.00,98.25
2618.00,98.25
