Created as New Dataset,PP film GF
cm-1,%T
3179.00,99.51
3178.00,99.51
3177.00,99.52
3176.00,99.52
3175.00,99.52
3174.00,99.53
3173.00,99.53
3172.00,99.54
3171.00,99.54
3170.00,99.55
3169.00,99.55
3168.00,99.55
3167.00,99.55
3166.00,99.55
3165.00,99.55
3164.00,99.55
3163.00,99.55
3162.00,99.55
3161.00,99.55
3160.00,99.55
3159.00,99.55
3158.00,99.55
3157.00,99.55
3156.00,99.55
3155.00,99.55
3154.00,99.55
3153.00,99.55
3152.00,99.55
3151.00,99.54
3150.00,99.54
3149.00,99.54
3148.00,99.54
3147.00,99.54
3146.00,99.54
3145.00,99.54
3144.00,99.54
3143.00,99.54
3142.00,99.54
3141.00,99.54
3140.00,99.54
3139.00,99.55
3138.00,99.55
3137.00,99.55
3136.00,99.56
3135.00,99.56
3134.00,99.56
3133.00,99.57
3132.00,99.57
3131.00,99.57
3130.00,99.57
3129.00,99.58
3128.00,99.58
3127.00,99.58
3126.00,99.59
3125.00,99.60
3124.00,99.60
3123.00,99.60
3122.00,99.60
3121.00,99.60
3120.00,99.60
3119.00,99.60
3118.00,99.61
