Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
2657.00,98.51
2656.00,98.51
2655.00,98.51
2654.00,98.52
2653.00,98.52
2652.00,98.52
2651.00,98.52
2650.00,98.52
2649.00,98.52
2648.00,98.52
2647.00,98.51
2646.00,98.50
2645.00,98.49
2644.00,98.48
2643.00,98.47
2642.00,98.46
2641.00,98.45
2640.00,98.44
2639.00,98.43
2638.00,98.42
2637.00,98.41
2636.00,98.41
2635.00,98.42
2634.00,98.42
2633.00,98.43
2632.00,98.45
2631.00,98.47
2630.00,98.49
2629.00,98.52
2628.00,98.54
2627.00,98.57
2626.00,98.59
2625.00,98.61
2624.00,98.64
2623.00,98.66
2622.00,98.69
2621.00,98.71
2620.00,98.73
2619.00,98.75
2618.00,98.77
2617.00,98.79
2616.00,98.80
2615.00,98.82
2614.00,98.84
2613.00,98.85
2612.00,98.87
2611.00,98.89
2610.00,98.90
2609.00,98.92
2608.00,98.93
2607.00,98.94
2606.00,98.95
2605.00,98.96
2604.00,98.96
2603.00,98.97
2602.00,98.98
2601.00,98.99
2600.00,99.00
2599.00,99.02
2598.00,99.03
2597.00,99.04
2596.00,99.05
2595.00,99.07
2594.00,99.08
2593.00,99.09
2592.00,99.10
2591.00,99.11
2590.00,99.12
2589.00,99.13
2588.00,99.14
2587.00,99.15
2586.00,99.16
2585.00,99.17
2584.00,99.18
2583.00,99.19
2582.00,99.20
2581.00,99.21
2580.00,99.22
2579.00,99.22
2578.00,99.23
2577.00,99.24
2576.00,99.25
2575.00,99.26
2574.00,99.27
2573.00,99.28
2572.00,99.28
2571.00,99.29
2570.00,99.30
2569.00,99.30
2568.00,99.30
2567.00,99.31
2566.00,99.31
2565.00,99.32
2564.00,99.33
2563.00,99.33
2562.00,99.34
2561.00,99.34
2560.00,99.34
2559.00,99.35
2558.00,99.35
2557.00,99.36
2556.00,99.36
2555.00,99.36
2554.00,99.37
2553.00,99.37
2552.00,99.37
2551.00,99.37
2550.00,99.37
2549.00,99.38
2548.00,99.39
2547.00,99.40
2546.00,99.41
2545.00,99.42
2544.00,99.44
2543.00,99.45
2542.00,99.47
2541.00,99.48
2540.00,99.49
2539.00,99.49
2538.00,99.50
2537.00,99.50
2536.00,99.50
2535.00,99.50
2534.00,99.50
2533.00,99.50
2532.00,99.50
2531.00,99.50
2530.00,99.50
