Created as New Dataset,Sample 001 By Administrator Date Wednesday, May 03 2023
cm-1,A
2820.00,0.0007
2819.00,0.0007
2818.00,0.0006
2817.00,0.0006
2816.00,0.0006
2815.00,0.0006
2814.00,0.0005
2813.00,0.0005
2812.00,0.0004
2811.00,0.0004
2810.00,0.0004
2809.00,0.0004
2808.00,0.0004
2807.00,0.0004
2806.00,0.0004
2805.00,0.0004
2804.00,0.0004
2803.00,0.0004
2802.00,0.0003
2801.00,0.0002
2800.00,0.0002
2799.00,0.0002
2798.00,0.0002
2797.00,0.0002
2796.00,0.0002
2795.00,0.0002
2794.00,0.0002
2793.00,0.0001
2792.00,0.0001
2791.00,0.0001
2790.00,0.0001
2789.00,0.0001
2788.00,0.0000
2787.00,0.0000
2786.00,0.0000
2785.00,0.0000
2784.00,0.0000
2783.00,-0.0000
2782.00,-0.0000
2781.00,-0.0000
2780.00,-0.0001
2779.00,-0.0001
2778.00,-0.0001
2777.00,-0.0001
2776.00,-0.0000
2775.00,0.0000
2774.00,0.0000
2773.00,-0.0000
2772.00,-0.0000
2771.00,-0.0001
2770.00,-0.0001
2769.00,-0.0001
2768.00,-0.0001
2767.00,-0.0001
2766.00,-0.0001
2765.00,-0.0001
2764.00,-0.0001
2763.00,-0.0002
2762.00,-0.0002
2761.00,-0.0002
2760.00,-0.0002
2759.00,-0.0002
2758.00,-0.0002
2757.00,-0.0002
2756.00,-0.0002
2755.00,-0.0002
2754.00,-0.0002
2753.00,-0.0002
2752.00,-0.0002
2751.00,-0.0002
2750.00,-0.0002
2749.00,-0.0002
2748.00,-0.0002
2747.00,-0.0002
2746.00,-0.0002
2745.00,-0.0002
2744.00,-0.0002
2743.00,-0.0002
2742.00,-0.0002
2741.00,-0.0002
2740.00,-0.0002
2739.00,-0.0002
2738.00,-0.0002
2737.00,-0.0002
2736.00,-0.0002
2735.00,-0.0002
2734.00,-0.0002
2733.00,-0.0002
2732.00,-0.0002
2731.00,-0.0002
2730.00,-0.0002
2729.00,-0.0002
2728.00,-0.0002
2727.00,-0.0003
2726.00,-0.0003
2725.00,-0.0003
2724.00,-0.0003
2723.00,-0.0003
2722.00,-0.0003
2721.00,-0.0003
2720.00,-0.0003
2719.00,-0.0002
2718.00,-0.0002
2717.00,-0.0002
2716.00,-0.0003
2715.00,-0.0003
2714.00,-0.0003
2713.00,-0.0003
2712.00,-0.0003
2711.00,-0.0003
2710.00,-0.0003
2709.00,-0.0003
2708.00,-0.0003
2707.00,-0.0003
2706.00,-0.0003
2705.00,-0.0003
