Created as New Dataset,PVC powder GF
cm-1,%T
2857.00,96.41
2856.00,96.40
2855.00,96.39
2854.00,96.37
2853.00,96.36
2852.00,96.35
2851.00,96.34
2850.00,96.34
2849.00,96.34
2848.00,96.34
2847.00,96.34
2846.00,96.34
2845.00,96.35
2844.00,96.35
2843.00,96.36
2842.00,96.37
2841.00,96.39
2840.00,96.41
2839.00,96.43
2838.00,96.45
2837.00,96.48
2836.00,96.50
2835.00,96.52
2834.00,96.53
2833.00,96.54
2832.00,96.55
2831.00,96.56
2830.00,96.56
2829.00,96.56
2828.00,96.56
2827.00,96.56
2826.00,96.55
2825.00,96.54
2824.00,96.52
2823.00,96.51
2822.00,96.49
2821.00,96.47
2820.00,96.46
2819.00,96.44
2818.00,96.43
2817.00,96.43
2816.00,96.43
2815.00,96.44
2814.00,96.46
2813.00,96.48
2812.00,96.50
2811.00,96.53
2810.00,96.56
2809.00,96.58
2808.00,96.61
2807.00,96.63
2806.00,96.65
2805.00,96.67
2804.00,96.68
2803.00,96.70
2802.00,96.71
2801.00,96.72
2800.00,96.73
2799.00,96.73
2798.00,96.74
2797.00,96.74
2796.00,96.75
2795.00,96.75
2794.00,96.76
2793.00,96.76
2792.00,96.77
2791.00,96.77
2790.00,96.77
2789.00,96.78
2788.00,96.78
2787.00,96.79
2786.00,96.79
2785.00,96.80
2784.00,96.80
2783.00,96.81
2782.00,96.81
2781.00,96.82
2780.00,96.82
2779.00,96.82
2778.00,96.82
2777.00,96.82
2776.00,96.82
2775.00,96.82
2774.00,96.82
2773.00,96.83
2772.00,96.83
2771.00,96.83
2770.00,96.83
2769.00,96.83
2768.00,96.83
2767.00,96.83
2766.00,96.83
2765.00,96.83
2764.00,96.83
2763.00,96.83
2762.00,96.83
2761.00,96.83
2760.00,96.83
2759.00,96.82
2758.00,96.82
2757.00,96.82
2756.00,96.82
2755.00,96.82
2754.00,96.81
2753.00,96.81
2752.00,96.81
2751.00,96.80
2750.00,96.81
2749.00,96.81
2748.00,96.80
2747.00,96.80
2746.00,96.80
2745.00,96.80
2744.00,96.80
2743.00,96.80
2742.00,96.79
2741.00,96.79
2740.00,96.79
2739.00,96.79
2738.00,96.79
2737.00,96.80
2736.00,96.80
2735.00,96.80
2734.00,96.80
2733.00,96.80
2732.00,96.80
2731.00,96.81
2730.00,96.81
2729.00,96.81
2728.00,96.81
2727.00,96.81
2726.00,96.81
2725.00,96.81
2724.00,96.81
2723.00,96.81
2722.00,96.82
2721.00,96.82
2720.00,96.82
2719.00,96.82
2718.00,96.83
2717.00,96.83
2716.00,96.83
2715.00,96.83
2714.00,96.83
2713.00,96.83
2712.00,96.84
2711.00,96.84
2710.00,96.84
2709.00,96.84
2708.00,96.84
2707.00,96.83
2706.00,96.83
2705.00,96.83
2704.00,96.84
2703.00,96.84
2702.00,96.84
2701.00,96.84
2700.00,96.84
2699.00,96.84
2698.00,96.84
2697.00,96.84
2696.00,96.84
2695.00,96.84
2694.00,96.84
2693.00,96.84
2692.00,96.84
2691.00,96.84
2690.00,96.84
2689.00,96.84
2688.00,96.84
2687.00,96.84
2686.00,96.84
2685.00,96.83
2684.00,96.84
2683.00,96.84
2682.00,96.84
2681.00,96.84
2680.00,96.84
2679.00,96.84
2678.00,96.84
2677.00,96.84
2676.00,96.84
2675.00,96.84
2674.00,96.83
2673.00,96.83
2672.00,96.84
2671.00,96.84
2670.00,96.84
2669.00,96.84
2668.00,96.83
2667.00,96.83
2666.00,96.82
2665.00,96.82
2664.00,96.81
2663.00,96.80
2662.00,96.79
2661.00,96.78
2660.00,96.77
2659.00,96.76
2658.00,96.75
2657.00,96.75
2656.00,96.74
2655.00,96.74
2654.00,96.73
2653.00,96.73
2652.00,96.72
2651.00,96.72
2650.00,96.72
2649.00,96.71
2648.00,96.71
2647.00,96.71
2646.00,96.71
2645.00,96.71
2644.00,96.70
2643.00,96.70
2642.00,96.69
2641.00,96.69
2640.00,96.69
2639.00,96.68
2638.00,96.68
2637.00,96.68
2636.00,96.68
2635.00,96.67
2634.00,96.67
2633.00,96.67
2632.00,96.67
2631.00,96.67
2630.00,96.67
2629.00,96.67
2628.00,96.66
2627.00,96.66
2626.00,96.66
2625.00,96.66
2624.00,96.66
2623.00,96.66
2622.00,96.65
2621.00,96.65
2620.00,96.65
2619.00,96.65
2618.00,96.65
2617.00,96.65
2616.00,96.64
2615.00,96.64
2614.00,96.64
2613.00,96.64
2612.00,96.65
2611.00,96.65
2610.00,96.65
2609.00,96.65
2608.00,96.64
2607.00,96.64
2606.00,96.64
2605.00,96.63
2604.00,96.64
2603.00,96.64
2602.00,96.64
2601.00,96.64
2600.00,96.64
2599.00,96.64
2598.00,96.63
