Created as New Dataset,PAN 230kDa GF
cm-1,%T
2898.00,98.27
2897.00,98.29
2896.00,98.31
2895.00,98.33
2894.00,98.35
2893.00,98.37
2892.00,98.38
2891.00,98.39
2890.00,98.40
2889.00,98.40
2888.00,98.40
2887.00,98.40
2886.00,98.40
2885.00,98.40
2884.00,98.39
2883.00,98.38
2882.00,98.37
2881.00,98.36
2880.00,98.35
2879.00,98.34
2878.00,98.33
2877.00,98.33
2876.00,98.32
2875.00,98.32
2874.00,98.31
2873.00,98.31
2872.00,98.31
2871.00,98.32
2870.00,98.32
2869.00,98.33
2868.00,98.34
2867.00,98.35
2866.00,98.37
2865.00,98.40
2864.00,98.42
2863.00,98.45
2862.00,98.47
2861.00,98.50
2860.00,98.53
2859.00,98.55
2858.00,98.58
2857.00,98.61
2856.00,98.64
2855.00,98.66
2854.00,98.67
2853.00,98.68
2852.00,98.70
2851.00,98.71
2850.00,98.73
2849.00,98.75
2848.00,98.76
2847.00,98.77
2846.00,98.78
2845.00,98.78
2844.00,98.78
2843.00,98.79
2842.00,98.79
2841.00,98.79
2840.00,98.79
2839.00,98.79
2838.00,98.79
2837.00,98.79
2836.00,98.79
2835.00,98.79
2834.00,98.79
2833.00,98.80
2832.00,98.80
2831.00,98.80
2830.00,98.80
2829.00,98.80
2828.00,98.79
2827.00,98.79
2826.00,98.79
2825.00,98.79
2824.00,98.79
2823.00,98.79
2822.00,98.79
2821.00,98.79
2820.00,98.79
2819.00,98.79
2818.00,98.79
2817.00,98.79
2816.00,98.79
2815.00,98.79
2814.00,98.79
2813.00,98.79
2812.00,98.79
2811.00,98.79
2810.00,98.79
2809.00,98.79
2808.00,98.79
2807.00,98.79
2806.00,98.79
2805.00,98.79
2804.00,98.80
2803.00,98.80
2802.00,98.80
2801.00,98.80
2800.00,98.81
2799.00,98.81
2798.00,98.81
2797.00,98.82
2796.00,98.82
2795.00,98.82
2794.00,98.82
2793.00,98.83
2792.00,98.83
2791.00,98.83
2790.00,98.83
2789.00,98.84
2788.00,98.84
2787.00,98.84
2786.00,98.84
2785.00,98.85
2784.00,98.85
2783.00,98.85
2782.00,98.85
2781.00,98.85
2780.00,98.85
2779.00,98.85
2778.00,98.85
2777.00,98.85
2776.00,98.85
2775.00,98.85
2774.00,98.86
2773.00,98.86
2772.00,98.86
2771.00,98.86
2770.00,98.86
2769.00,98.86
2768.00,98.86
2767.00,98.86
2766.00,98.86
2765.00,98.87
2764.00,98.87
2763.00,98.87
2762.00,98.87
2761.00,98.87
2760.00,98.87
2759.00,98.87
2758.00,98.87
2757.00,98.87
2756.00,98.87
2755.00,98.87
2754.00,98.87
2753.00,98.87
2752.00,98.87
2751.00,98.86
2750.00,98.86
2749.00,98.86
2748.00,98.86
2747.00,98.86
2746.00,98.86
2745.00,98.86
2744.00,98.86
2743.00,98.86
2742.00,98.86
2741.00,98.86
2740.00,98.86
2739.00,98.86
2738.00,98.86
2737.00,98.86
2736.00,98.86
2735.00,98.86
2734.00,98.86
2733.00,98.86
2732.00,98.86
2731.00,98.85
2730.00,98.85
2729.00,98.85
2728.00,98.85
2727.00,98.85
2726.00,98.85
2725.00,98.85
2724.00,98.85
2723.00,98.85
2722.00,98.85
2721.00,98.85
2720.00,98.85
2719.00,98.85
2718.00,98.85
2717.00,98.85
2716.00,98.84
2715.00,98.84
2714.00,98.84
2713.00,98.84
2712.00,98.84
2711.00,98.84
2710.00,98.83
2709.00,98.83
2708.00,98.83
2707.00,98.84
2706.00,98.84
2705.00,98.84
2704.00,98.84
2703.00,98.84
2702.00,98.83
2701.00,98.83
2700.00,98.83
2699.00,98.83
2698.00,98.83
2697.00,98.83
2696.00,98.83
2695.00,98.83
2694.00,98.83
2693.00,98.83
2692.00,98.83
2691.00,98.83
2690.00,98.83
2689.00,98.83
2688.00,98.83
2687.00,98.83
2686.00,98.82
2685.00,98.82
2684.00,98.82
2683.00,98.82
2682.00,98.82
2681.00,98.83
2680.00,98.82
2679.00,98.82
2678.00,98.82
2677.00,98.82
2676.00,98.82
2675.00,98.82
2674.00,98.82
2673.00,98.82
2672.00,98.82
2671.00,98.82
2670.00,98.82
2669.00,98.82
2668.00,98.81
