Created as New Dataset,Acrylic Red
cm-1,%T
3100.00,98.71
3099.00,98.71
3098.00,98.71
3097.00,98.71
3096.00,98.71
3095.00,98.70
3094.00,98.70
3093.00,98.69
3092.00,98.69
3091.00,98.69
3090.00,98.69
3089.00,98.69
3088.00,98.68
3087.00,98.68
3086.00,98.68
3085.00,98.67
3084.00,98.67
3083.00,98.67
3082.00,98.67
3081.00,98.67
3080.00,98.67
3079.00,98.67
3078.00,98.67
3077.00,98.66
3076.00,98.66
3075.00,98.66
3074.00,98.65
3073.00,98.65
3072.00,98.65
3071.00,98.64
3070.00,98.64
3069.00,98.64
3068.00,98.63
3067.00,98.62
3066.00,98.61
3065.00,98.61
3064.00,98.60
3063.00,98.59
3062.00,98.59
3061.00,98.58
3060.00,98.57
3059.00,98.57
3058.00,98.56
3057.00,98.55
3056.00,98.54
3055.00,98.53
3054.00,98.52
3053.00,98.51
3052.00,98.50
3051.00,98.49
3050.00,98.48
3049.00,98.46
3048.00,98.44
3047.00,98.42
3046.00,98.40
3045.00,98.38
3044.00,98.36
3043.00,98.33
3042.00,98.30
3041.00,98.27
3040.00,98.23
3039.00,98.20
3038.00,98.16
3037.00,98.13
3036.00,98.08
3035.00,98.04
3034.00,97.99
3033.00,97.94
3032.00,97.89
3031.00,97.84
3030.00,97.80
3029.00,97.75
3028.00,97.70
3027.00,97.65
3026.00,97.61
3025.00,97.57
3024.00,97.53
3023.00,97.49
3022.00,97.45
3021.00,97.41
3020.00,97.37
3019.00,97.33
3018.00,97.28
3017.00,97.24
3016.00,97.19
3015.00,97.14
3014.00,97.09
3013.00,97.03
3012.00,96.97
3011.00,96.91
3010.00,96.85
3009.00,96.79
3008.00,96.72
3007.00,96.65
3006.00,96.58
3005.00,96.52
3004.00,96.46
3003.00,96.40
3002.00,96.35
3001.00,96.30
3000.00,96.25
2999.00,96.21
2998.00,96.17
2997.00,96.15
2996.00,96.13
2995.00,96.12
2994.00,96.12
2993.00,96.12
2992.00,96.13
2991.00,96.15
2990.00,96.19
2989.00,96.23
2988.00,96.28
2987.00,96.33
2986.00,96.39
2985.00,96.45
2984.00,96.53
2983.00,96.60
2982.00,96.67
2981.00,96.74
2980.00,96.81
2979.00,96.87
2978.00,96.92
2977.00,96.96
2976.00,96.98
2975.00,97.00
2974.00,97.00
2973.00,96.99
2972.00,96.96
2971.00,96.93
2970.00,96.88
2969.00,96.82
2968.00,96.74
2967.00,96.66
2966.00,96.55
2965.00,96.44
2964.00,96.31
2963.00,96.17
2962.00,96.02
2961.00,95.86
2960.00,95.69
2959.00,95.51
2958.00,95.33
2957.00,95.15
2956.00,94.98
2955.00,94.82
2954.00,94.67
2953.00,94.55
2952.00,94.46
2951.00,94.41
2950.00,94.40
2949.00,94.44
2948.00,94.53
2947.00,94.65
2946.00,94.79
2945.00,94.95
2944.00,95.11
2943.00,95.26
2942.00,95.41
2941.00,95.54
2940.00,95.65
2939.00,95.75
2938.00,95.83
2937.00,95.89
2936.00,95.95
2935.00,96.00
2934.00,96.04
2933.00,96.08
2932.00,96.11
2931.00,96.15
2930.00,96.18
2929.00,96.21
2928.00,96.25
2927.00,96.28
2926.00,96.31
2925.00,96.35
2924.00,96.38
2923.00,96.42
2922.00,96.46
2921.00,96.49
2920.00,96.53
2919.00,96.56
2918.00,96.59
2917.00,96.63
2916.00,96.66
2915.00,96.69
2914.00,96.73
2913.00,96.76
2912.00,96.79
2911.00,96.82
2910.00,96.85
2909.00,96.88
2908.00,96.91
2907.00,96.94
2906.00,96.98
2905.00,97.02
2904.00,97.06
2903.00,97.10
2902.00,97.14
2901.00,97.17
2900.00,97.21
2899.00,97.24
2898.00,97.27
2897.00,97.30
2896.00,97.33
2895.00,97.35
2894.00,97.38
2893.00,97.40
2892.00,97.43
2891.00,97.45
2890.00,97.47
2889.00,97.49
2888.00,97.52
2887.00,97.54
2886.00,97.56
2885.00,97.59
2884.00,97.61
2883.00,97.64
2882.00,97.67
2881.00,97.69
2880.00,97.72
2879.00,97.74
2878.00,97.77
2877.00,97.80
2876.00,97.83
2875.00,97.86
2874.00,97.89
2873.00,97.91
2872.00,97.94
2871.00,97.96
2870.00,97.97
2869.00,97.99
2868.00,98.01
2867.00,98.03
2866.00,98.04
2865.00,98.05
2864.00,98.06
2863.00,98.07
2862.00,98.07
2861.00,98.07
2860.00,98.07
2859.00,98.07
2858.00,98.07
2857.00,98.07
2856.00,98.06
2855.00,98.04
2854.00,98.03
2853.00,98.01
2852.00,97.99
2851.00,97.97
2850.00,97.95
2849.00,97.93
2848.00,97.91
2847.00,97.89
2846.00,97.88
2845.00,97.86
2844.00,97.86
2843.00,97.86
2842.00,97.86
2841.00,97.87
2840.00,97.89
2839.00,97.91
2838.00,97.94
2837.00,97.97
2836.00,98.01
2835.00,98.05
2834.00,98.08
2833.00,98.11
2832.00,98.14
2831.00,98.17
2830.00,98.20
2829.00,98.22
2828.00,98.24
2827.00,98.26
2826.00,98.28
