Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
3152.00,99.76
3151.00,99.76
3150.00,99.75
3149.00,99.75
3148.00,99.75
3147.00,99.75
3146.00,99.75
3145.00,99.75
3144.00,99.75
3143.00,99.74
3142.00,99.74
3141.00,99.74
3140.00,99.74
3139.00,99.73
3138.00,99.73
3137.00,99.73
3136.00,99.73
3135.00,99.73
3134.00,99.73
3133.00,99.73
3132.00,99.73
3131.00,99.73
3130.00,99.73
3129.00,99.73
3128.00,99.73
3127.00,99.73
3126.00,99.72
3125.00,99.72
3124.00,99.71
3123.00,99.71
3122.00,99.71
3121.00,99.71
3120.00,99.70
3119.00,99.70
3118.00,99.70
3117.00,99.69
3116.00,99.69
3115.00,99.68
3114.00,99.68
3113.00,99.67
3112.00,99.67
3111.00,99.67
3110.00,99.66
3109.00,99.66
3108.00,99.65
3107.00,99.64
3106.00,99.63
3105.00,99.63
3104.00,99.62
3103.00,99.62
3102.00,99.61
3101.00,99.61
3100.00,99.60
3099.00,99.59
3098.00,99.58
3097.00,99.57
3096.00,99.56
3095.00,99.56
3094.00,99.55
3093.00,99.54
3092.00,99.54
3091.00,99.53
3090.00,99.52
3089.00,99.51
3088.00,99.50
3087.00,99.49
3086.00,99.48
3085.00,99.48
3084.00,99.47
3083.00,99.46
3082.00,99.45
3081.00,99.45
3080.00,99.44
3079.00,99.43
3078.00,99.43
3077.00,99.43
3076.00,99.42
3075.00,99.42
3074.00,99.41
3073.00,99.40
3072.00,99.40
3071.00,99.39
3070.00,99.38
3069.00,99.38
3068.00,99.37
3067.00,99.36
3066.00,99.35
3065.00,99.34
3064.00,99.33
3063.00,99.33
3062.00,99.32
3061.00,99.32
3060.00,99.32
3059.00,99.31
3058.00,99.31
3057.00,99.30
3056.00,99.29
3055.00,99.28
3054.00,99.28
3053.00,99.27
3052.00,99.27
3051.00,99.26
3050.00,99.25
3049.00,99.23
3048.00,99.22
3047.00,99.22
3046.00,99.21
3045.00,99.20
3044.00,99.19
3043.00,99.18
3042.00,99.16
3041.00,99.15
3040.00,99.14
3039.00,99.13
3038.00,99.12
3037.00,99.10
3036.00,99.09
3035.00,99.08
3034.00,99.06
3033.00,99.04
3032.00,99.03
3031.00,99.01
3030.00,99.00
3029.00,98.98
3028.00,98.97
3027.00,98.96
3026.00,98.95
3025.00,98.95
3024.00,98.94
3023.00,98.93
3022.00,98.92
3021.00,98.92
3020.00,98.91
3019.00,98.90
3018.00,98.88
3017.00,98.87
3016.00,98.85
3015.00,98.83
3014.00,98.82
3013.00,98.81
3012.00,98.80
3011.00,98.78
3010.00,98.76
3009.00,98.74
3008.00,98.72
3007.00,98.70
3006.00,98.68
3005.00,98.65
3004.00,98.63
3003.00,98.60
3002.00,98.58
3001.00,98.55
3000.00,98.53
2999.00,98.50
2998.00,98.47
2997.00,98.44
2996.00,98.41
2995.00,98.37
2994.00,98.33
2993.00,98.29
2992.00,98.24
2991.00,98.19
2990.00,98.13
2989.00,98.07
2988.00,98.01
2987.00,97.94
2986.00,97.86
2985.00,97.78
2984.00,97.69
2983.00,97.59
2982.00,97.48
2981.00,97.36
2980.00,97.22
2979.00,97.07
2978.00,96.91
2977.00,96.73
2976.00,96.53
2975.00,96.31
2974.00,96.08
2973.00,95.82
2972.00,95.54
2971.00,95.25
2970.00,94.94
