Created as New Dataset,PP granule 3mm GF
cm-1,%T
2632.00,99.08
2631.00,99.08
2630.00,99.08
2629.00,99.08
2628.00,99.07
2627.00,99.07
2626.00,99.07
2625.00,99.06
2624.00,99.06
2623.00,99.05
2622.00,99.05
2621.00,99.05
2620.00,99.05
2619.00,99.05
2618.00,99.05
2617.00,99.05
2616.00,99.05
2615.00,99.05
2614.00,99.05
2613.00,99.06
2612.00,99.07
2611.00,99.08
2610.00,99.09
2609.00,99.10
2608.00,99.11
2607.00,99.12
2606.00,99.14
2605.00,99.15
2604.00,99.17
2603.00,99.17
2602.00,99.18
2601.00,99.18
2600.00,99.18
2599.00,99.18
2598.00,99.18
2597.00,99.19
2596.00,99.19
2595.00,99.18
2594.00,99.18
2593.00,99.17
2592.00,99.16
2591.00,99.15
2590.00,99.14
2589.00,99.13
2588.00,99.11
2587.00,99.09
2586.00,99.07
2585.00,99.06
2584.00,99.05
2583.00,99.05
2582.00,99.05
2581.00,99.06
2580.00,99.07
2579.00,99.08
2578.00,99.10
2577.00,99.11
2576.00,99.13
2575.00,99.15
2574.00,99.17
2573.00,99.19
2572.00,99.21
2571.00,99.22
2570.00,99.24
2569.00,99.25
2568.00,99.27
2567.00,99.28
2566.00,99.29
2565.00,99.30
2564.00,99.31
2563.00,99.31
2562.00,99.31
2561.00,99.31
2560.00,99.30
2559.00,99.30
2558.00,99.30
2557.00,99.31
2556.00,99.32
2555.00,99.33
2554.00,99.33
2553.00,99.34
2552.00,99.34
2551.00,99.35
2550.00,99.35
2549.00,99.36
2548.00,99.36
2547.00,99.37
2546.00,99.38
2545.00,99.39
2544.00,99.40
2543.00,99.40
2542.00,99.41
2541.00,99.41
2540.00,99.41
2539.00,99.42
2538.00,99.42
2537.00,99.42
2536.00,99.42
2535.00,99.43
2534.00,99.44
2533.00,99.44
2532.00,99.45
2531.00,99.45
2530.00,99.45
2529.00,99.45
2528.00,99.45
2527.00,99.45
2526.00,99.46
2525.00,99.46
2524.00,99.47
2523.00,99.47
2522.00,99.48
2521.00,99.48
2520.00,99.49
2519.00,99.49
2518.00,99.49
2517.00,99.50
2516.00,99.50
2515.00,99.51
2514.00,99.51
2513.00,99.51
2512.00,99.51
2511.00,99.51
2510.00,99.52
2509.00,99.52
2508.00,99.52
2507.00,99.53
2506.00,99.53
2505.00,99.53
2504.00,99.53
2503.00,99.53
2502.00,99.53
2501.00,99.53
2500.00,99.53
2499.00,99.53
2498.00,99.53
2497.00,99.53
2496.00,99.53
2495.00,99.53
2494.00,99.53
2493.00,99.53
2492.00,99.53
2491.00,99.53
2490.00,99.53
2489.00,99.53
2488.00,99.54
2487.00,99.54
2486.00,99.54
2485.00,99.54
2484.00,99.54
2483.00,99.54
2482.00,99.54
2481.00,99.54
2480.00,99.54
2479.00,99.55
2478.00,99.55
2477.00,99.55
2476.00,99.55
2475.00,99.56
2474.00,99.56
2473.00,99.56
2472.00,99.57
2471.00,99.57
2470.00,99.56
2469.00,99.56
2468.00,99.56
2467.00,99.56
2466.00,99.56
2465.00,99.56
2464.00,99.56
2463.00,99.56
2462.00,99.56
