Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
3160.00,97.94
3159.00,97.94
3158.00,97.94
3157.00,97.95
3156.00,97.95
3155.00,97.95
3154.00,97.95
3153.00,97.96
3152.00,97.96
3151.00,97.96
3150.00,97.96
3149.00,97.96
3148.00,97.96
3147.00,97.95
3146.00,97.95
3145.00,97.96
3144.00,97.96
3143.00,97.96
3142.00,97.96
3141.00,97.96
3140.00,97.96
3139.00,97.96
3138.00,97.96
3137.00,97.96
3136.00,97.96
3135.00,97.96
3134.00,97.96
3133.00,97.96
3132.00,97.95
3131.00,97.95
3130.00,97.95
3129.00,97.94
3128.00,97.94
3127.00,97.93
3126.00,97.93
3125.00,97.92
3124.00,97.92
3123.00,97.92
3122.00,97.91
3121.00,97.91
3120.00,97.91
3119.00,97.91
3118.00,97.90
3117.00,97.90
3116.00,97.89
3115.00,97.88
3114.00,97.87
3113.00,97.85
3112.00,97.82
3111.00,97.80
3110.00,97.77
3109.00,97.73
3108.00,97.70
3107.00,97.67
3106.00,97.65
3105.00,97.64
3104.00,97.64
3103.00,97.64
3102.00,97.65
3101.00,97.66
3100.00,97.67
3099.00,97.68
3098.00,97.68
3097.00,97.68
3096.00,97.68
3095.00,97.66
3094.00,97.64
3093.00,97.60
3092.00,97.56
3091.00,97.50
3090.00,97.43
3089.00,97.35
3088.00,97.26
3087.00,97.17
3086.00,97.08
3085.00,97.02
3084.00,96.97
3083.00,96.96
3082.00,96.97
3081.00,97.00
3080.00,97.04
3079.00,97.09
3078.00,97.14
3077.00,97.18
3076.00,97.21
3075.00,97.23
3074.00,97.24
3073.00,97.23
3072.00,97.22
3071.00,97.20
3070.00,97.16
3069.00,97.11
3068.00,97.05
3067.00,96.97
3066.00,96.88
3065.00,96.78
3064.00,96.69
3063.00,96.62
3062.00,96.57
3061.00,96.54
3060.00,96.54
3059.00,96.57
3058.00,96.63
3057.00,96.70
3056.00,96.78
3055.00,96.86
3054.00,96.93
3053.00,97.00
3052.00,97.06
3051.00,97.12
3050.00,97.16
3049.00,97.19
3048.00,97.22
3047.00,97.24
3046.00,97.25
3045.00,97.25
3044.00,97.23
3043.00,97.21
3042.00,97.18
3041.00,97.13
3040.00,97.08
3039.00,97.01
3038.00,96.92
3037.00,96.82
3036.00,96.69
3035.00,96.54
3034.00,96.37
3033.00,96.17
3032.00,95.95
3031.00,95.72
3030.00,95.51
3029.00,95.31
3028.00,95.16
3027.00,95.07
3026.00,95.04
3025.00,95.10
3024.00,95.22
3023.00,95.39
3022.00,95.61
3021.00,95.83
3020.00,96.05
3019.00,96.25
3018.00,96.41
3017.00,96.55
3016.00,96.67
3015.00,96.76
3014.00,96.83
