Created as New Dataset,PS Granule GF
cm-1,%T
3118.00,99.84
3117.00,99.84
3116.00,99.83
3115.00,99.83
3114.00,99.82
3113.00,99.82
3112.00,99.81
3111.00,99.80
3110.00,99.79
3109.00,99.78
3108.00,99.77
3107.00,99.77
3106.00,99.77
3105.00,99.76
3104.00,99.76
3103.00,99.76
3102.00,99.75
3101.00,99.76
3100.00,99.76
3099.00,99.76
3098.00,99.76
3097.00,99.76
3096.00,99.76
3095.00,99.75
3094.00,99.74
3093.00,99.72
3092.00,99.70
3091.00,99.68
3090.00,99.66
3089.00,99.63
3088.00,99.61
3087.00,99.59
3086.00,99.57
3085.00,99.55
3084.00,99.55
3083.00,99.55
3082.00,99.55
3081.00,99.56
3080.00,99.57
3079.00,99.59
3078.00,99.60
3077.00,99.61
3076.00,99.62
3075.00,99.62
3074.00,99.62
3073.00,99.62
3072.00,99.61
3071.00,99.60
3070.00,99.58
3069.00,99.56
3068.00,99.54
3067.00,99.51
3066.00,99.49
3065.00,99.46
3064.00,99.43
3063.00,99.41
3062.00,99.40
3061.00,99.40
3060.00,99.40
3059.00,99.41
3058.00,99.42
3057.00,99.45
3056.00,99.47
3055.00,99.50
3054.00,99.53
3053.00,99.55
3052.00,99.56
3051.00,99.58
3050.00,99.59
3049.00,99.60
3048.00,99.61
3047.00,99.61
3046.00,99.61
3045.00,99.61
3044.00,99.61
3043.00,99.60
3042.00,99.58
3041.00,99.57
3040.00,99.54
3039.00,99.51
3038.00,99.48
3037.00,99.44
3036.00,99.40
3035.00,99.35
3034.00,99.30
3033.00,99.24
3032.00,99.18
3031.00,99.12
3030.00,99.06
3029.00,99.01
3028.00,98.97
3027.00,98.94
3026.00,98.94
3025.00,98.96
3024.00,99.00
3023.00,99.05
3022.00,99.12
3021.00,99.20
3020.00,99.27
3019.00,99.34
3018.00,99.40
3017.00,99.45
3016.00,99.49
3015.00,99.52
3014.00,99.55
3013.00,99.58
3012.00,99.59
3011.00,99.60
3010.00,99.60
3009.00,99.60
3008.00,99.60
3007.00,99.59
3006.00,99.59
3005.00,99.58
3004.00,99.58
3003.00,99.58
3002.00,99.59
3001.00,99.59
3000.00,99.61
2999.00,99.62
2998.00,99.64
2997.00,99.66
2996.00,99.68
2995.00,99.70
2994.00,99.71
2993.00,99.72
2992.00,99.72
2991.00,99.73
2990.00,99.74
2989.00,99.74
2988.00,99.74
2987.00,99.74
2986.00,99.74
2985.00,99.74
2984.00,99.74
2983.00,99.74
2982.00,99.74
2981.00,99.74
2980.00,99.74
2979.00,99.74
2978.00,99.74
2977.00,99.74
2976.00,99.73
2975.00,99.73
2974.00,99.73
2973.00,99.73
2972.00,99.73
2971.00,99.72
2970.00,99.72
2969.00,99.72
2968.00,99.71
2967.00,99.71
2966.00,99.70
2965.00,99.70
2964.00,99.69
2963.00,99.68
2962.00,99.67
2961.00,99.66
2960.00,99.65
2959.00,99.64
2958.00,99.63
2957.00,99.61
2956.00,99.60
2955.00,99.59
2954.00,99.57
2953.00,99.56
2952.00,99.54
2951.00,99.52
2950.00,99.50
2949.00,99.48
2948.00,99.45
2947.00,99.42
2946.00,99.40
2945.00,99.37
2944.00,99.35
2943.00,99.32
2942.00,99.29
2941.00,99.25
2940.00,99.22
2939.00,99.18
2938.00,99.14
2937.00,99.10
2936.00,99.06
2935.00,99.03
2934.00,98.98
2933.00,98.94
2932.00,98.91
2931.00,98.87
2930.00,98.83
2929.00,98.80
2928.00,98.76
2927.00,98.74
2926.00,98.71
2925.00,98.69
2924.00,98.68
2923.00,98.67
2922.00,98.67
2921.00,98.66
2920.00,98.67
2919.00,98.67
2918.00,98.69
2917.00,98.70
2916.00,98.73
2915.00,98.75
2914.00,98.77
2913.00,98.80
2912.00,98.83
2911.00,98.86
2910.00,98.89
2909.00,98.92
2908.00,98.95
2907.00,98.97
2906.00,99.00
2905.00,99.03
2904.00,99.06
2903.00,99.09
2902.00,99.12
2901.00,99.15
2900.00,99.18
2899.00,99.20
2898.00,99.22
2897.00,99.25
2896.00,99.27
2895.00,99.29
2894.00,99.31
2893.00,99.33
2892.00,99.34
2891.00,99.36
2890.00,99.37
2889.00,99.38
2888.00,99.39
2887.00,99.40
2886.00,99.41
2885.00,99.43
2884.00,99.44
2883.00,99.45
2882.00,99.45
2881.00,99.46
2880.00,99.47
2879.00,99.47
2878.00,99.48
2877.00,99.49
2876.00,99.49
2875.00,99.50
2874.00,99.51
2873.00,99.52
2872.00,99.52
2871.00,99.52
2870.00,99.52
2869.00,99.52
2868.00,99.52
2867.00,99.52
2866.00,99.52
2865.00,99.51
2864.00,99.50
2863.00,99.48
2862.00,99.46
2861.00,99.45
2860.00,99.43
2859.00,99.41
2858.00,99.39
2857.00,99.37
2856.00,99.35
2855.00,99.33
2854.00,99.31
2853.00,99.30
2852.00,99.29
2851.00,99.28
2850.00,99.28
2849.00,99.29
2848.00,99.31
2847.00,99.32
2846.00,99.35
2845.00,99.37
2844.00,99.39
2843.00,99.42
2842.00,99.44
2841.00,99.47
2840.00,99.50
2839.00,99.53
2838.00,99.56
2837.00,99.58
2836.00,99.60
2835.00,99.62
2834.00,99.64
2833.00,99.65
2832.00,99.66
2831.00,99.68
2830.00,99.68
2829.00,99.69
2828.00,99.69
2827.00,99.70
2826.00,99.70
2825.00,99.71
2824.00,99.71
2823.00,99.72
2822.00,99.72
2821.00,99.72
2820.00,99.72
2819.00,99.72
2818.00,99.72
2817.00,99.73
2816.00,99.73
2815.00,99.73
2814.00,99.73
2813.00,99.72
2812.00,99.72
2811.00,99.72
2810.00,99.72
2809.00,99.73
2808.00,99.73
2807.00,99.73
2806.00,99.74
2805.00,99.74
2804.00,99.74
2803.00,99.74
2802.00,99.74
2801.00,99.74
2800.00,99.74
2799.00,99.74
2798.00,99.75
2797.00,99.75
2796.00,99.75
2795.00,99.75
2794.00,99.75
2793.00,99.75
2792.00,99.75
2791.00,99.75
2790.00,99.76
2789.00,99.76
2788.00,99.76
2787.00,99.76
2786.00,99.76
2785.00,99.76
2784.00,99.76
2783.00,99.76
2782.00,99.76
2781.00,99.76
2780.00,99.76
2779.00,99.76
2778.00,99.77
2777.00,99.77
2776.00,99.76
2775.00,99.76
2774.00,99.77
2773.00,99.77
2772.00,99.77
2771.00,99.77
2770.00,99.77
2769.00,99.77
2768.00,99.77
2767.00,99.77
2766.00,99.77
2765.00,99.77
2764.00,99.77
2763.00,99.77
2762.00,99.78
2761.00,99.78
2760.00,99.78
2759.00,99.78
2758.00,99.78
2757.00,99.78
2756.00,99.78
2755.00,99.78
2754.00,99.78
2753.00,99.78
2752.00,99.78
2751.00,99.78
2750.00,99.78
2749.00,99.78
2748.00,99.78
2747.00,99.78
2746.00,99.78
2745.00,99.78
2744.00,99.78
2743.00,99.78
2742.00,99.78
2741.00,99.78
2740.00,99.78
2739.00,99.78
2738.00,99.78
2737.00,99.78
2736.00,99.78
2735.00,99.78
2734.00,99.79
2733.00,99.78
2732.00,99.78
2731.00,99.78
2730.00,99.78
2729.00,99.78
2728.00,99.78
2727.00,99.78
2726.00,99.78
2725.00,99.78
2724.00,99.78
2723.00,99.78
2722.00,99.78
2721.00,99.78
2720.00,99.79
2719.00,99.79
2718.00,99.78
2717.00,99.78
2716.00,99.78
2715.00,99.78
2714.00,99.78
2713.00,99.79
2712.00,99.79
2711.00,99.79
2710.00,99.79
2709.00,99.79
2708.00,99.79
2707.00,99.79
2706.00,99.79
2705.00,99.78
2704.00,99.78
2703.00,99.78
2702.00,99.78
2701.00,99.79
2700.00,99.79
2699.00,99.79
2698.00,99.79
2697.00,99.78
2696.00,99.78
2695.00,99.78
2694.00,99.78
2693.00,99.78
2692.00,99.78
2691.00,99.78
2690.00,99.78
2689.00,99.78
2688.00,99.78
2687.00,99.78
2686.00,99.78
2685.00,99.78
2684.00,99.78
2683.00,99.79
2682.00,99.79
2681.00,99.79
2680.00,99.79
2679.00,99.79
2678.00,99.79
2677.00,99.79
2676.00,99.79
2675.00,99.79
2674.00,99.79
2673.00,99.79
2672.00,99.79
2671.00,99.79
2670.00,99.78
2669.00,99.78
2668.00,99.78
2667.00,99.78
2666.00,99.78
2665.00,99.78
2664.00,99.78
2663.00,99.77
2662.00,99.77
2661.00,99.76
2660.00,99.76
2659.00,99.75
2658.00,99.74
2657.00,99.74
2656.00,99.74
2655.00,99.74
2654.00,99.74
2653.00,99.74
2652.00,99.73
2651.00,99.73
2650.00,99.73
2649.00,99.73
2648.00,99.73
2647.00,99.73
2646.00,99.72
2645.00,99.72
2644.00,99.72
2643.00,99.72
2642.00,99.72
2641.00,99.72
2640.00,99.72
2639.00,99.72
2638.00,99.72
2637.00,99.72
2636.00,99.72
2635.00,99.72
2634.00,99.72
2633.00,99.72
2632.00,99.72
2631.00,99.72
2630.00,99.72
2629.00,99.72
2628.00,99.72
2627.00,99.72
2626.00,99.72
2625.00,99.72
2624.00,99.72
2623.00,99.72
2622.00,99.72
2621.00,99.72
2620.00,99.73
2619.00,99.73
2618.00,99.73
2617.00,99.73
2616.00,99.73
2615.00,99.73
2614.00,99.73
2613.00,99.73
2612.00,99.73
2611.00,99.73
2610.00,99.73
2609.00,99.74
2608.00,99.74
2607.00,99.74
2606.00,99.74
2605.00,99.74
2604.00,99.74
2603.00,99.74
2602.00,99.74
2601.00,99.73
2600.00,99.73
2599.00,99.74
2598.00,99.74
2597.00,99.74
2596.00,99.74
2595.00,99.74
2594.00,99.74
2593.00,99.74
2592.00,99.74
2591.00,99.74
2590.00,99.75
2589.00,99.75
2588.00,99.75
2587.00,99.75
2586.00,99.75
2585.00,99.75
2584.00,99.75
2583.00,99.75
2582.00,99.75
2581.00,99.75
2580.00,99.75
2579.00,99.75
2578.00,99.76
2577.00,99.76
2576.00,99.76
2575.00,99.76
2574.00,99.76
2573.00,99.76
2572.00,99.76
2571.00,99.76
2570.00,99.76
2569.00,99.76
2568.00,99.76
2567.00,99.76
2566.00,99.76
2565.00,99.76
2564.00,99.76
2563.00,99.76
2562.00,99.77
2561.00,99.77
2560.00,99.77
2559.00,99.77
2558.00,99.77
2557.00,99.77
2556.00,99.77
2555.00,99.77
2554.00,99.77
2553.00,99.77
2552.00,99.77
2551.00,99.77
2550.00,99.77
2549.00,99.77
2548.00,99.77
2547.00,99.77
2546.00,99.77
2545.00,99.77
2544.00,99.77
2543.00,99.77
2542.00,99.77
2541.00,99.77
2540.00,99.77
2539.00,99.77
2538.00,99.78
2537.00,99.78
2536.00,99.78
2535.00,99.77
2534.00,99.77
2533.00,99.78
2532.00,99.78
2531.00,99.78
2530.00,99.77
2529.00,99.77
2528.00,99.77
2527.00,99.77
2526.00,99.77
2525.00,99.78
2524.00,99.78
2523.00,99.78
2522.00,99.78
2521.00,99.78
2520.00,99.78
2519.00,99.78
2518.00,99.78
2517.00,99.78
2516.00,99.78
2515.00,99.78
2514.00,99.78
2513.00,99.78
2512.00,99.78
2511.00,99.77
2510.00,99.77
2509.00,99.77
2508.00,99.78
2507.00,99.78
2506.00,99.78
2505.00,99.78
2504.00,99.78
2503.00,99.78
2502.00,99.78
2501.00,99.78
2500.00,99.78
2499.00,99.78
2498.00,99.79
2497.00,99.78
2496.00,99.78
2495.00,99.77
2494.00,99.77
2493.00,99.78
2492.00,99.78
2491.00,99.78
2490.00,99.78
2489.00,99.78
2488.00,99.78
2487.00,99.78
2486.00,99.78
2485.00,99.78
2484.00,99.78
2483.00,99.78
2482.00,99.78
2481.00,99.79
2480.00,99.79
2479.00,99.79
2478.00,99.79
2477.00,99.80
2476.00,99.80
2475.00,99.80
2474.00,99.80
2473.00,99.80
2472.00,99.80
2471.00,99.80
2470.00,99.79
2469.00,99.79
2468.00,99.79
2467.00,99.78
2466.00,99.78
2465.00,99.78
2464.00,99.78
2463.00,99.78
2462.00,99.78
2461.00,99.78
2460.00,99.78
