Created as New Dataset,PS Biaxial Film GF
cm-1,%T
2648.00,98.92
2647.00,98.92
2646.00,98.92
2645.00,98.92
2644.00,98.92
2643.00,98.91
2642.00,98.91
2641.00,98.90
2640.00,98.90
2639.00,98.89
2638.00,98.88
2637.00,98.87
2636.00,98.86
2635.00,98.85
2634.00,98.84
2633.00,98.84
2632.00,98.83
2631.00,98.83
2630.00,98.84
2629.00,98.85
2628.00,98.86
2627.00,98.88
2626.00,98.89
2625.00,98.90
2624.00,98.90
2623.00,98.91
2622.00,98.92
2621.00,98.92
2620.00,98.93
2619.00,98.93
2618.00,98.93
2617.00,98.93
2616.00,98.93
2615.00,98.92
2614.00,98.92
2613.00,98.92
2612.00,98.92
2611.00,98.91
2610.00,98.91
2609.00,98.90
2608.00,98.89
2607.00,98.88
2606.00,98.88
2605.00,98.87
2604.00,98.87
2603.00,98.87
2602.00,98.87
2601.00,98.88
2600.00,98.88
2599.00,98.89
2598.00,98.90
2597.00,98.91
2596.00,98.93
2595.00,98.94
2594.00,98.95
2593.00,98.95
2592.00,98.96
2591.00,98.96
2590.00,98.96
2589.00,98.96
2588.00,98.96
2587.00,98.95
2586.00,98.94
2585.00,98.94
2584.00,98.93
2583.00,98.93
2582.00,98.93
2581.00,98.92
2580.00,98.93
2579.00,98.93
2578.00,98.93
2577.00,98.94
2576.00,98.95
2575.00,98.96
2574.00,98.97
2573.00,98.98
2572.00,98.98
2571.00,98.99
2570.00,98.99
2569.00,98.99
2568.00,98.99
2567.00,98.99
2566.00,99.00
2565.00,98.99
2564.00,98.99
2563.00,98.99
2562.00,98.99
2561.00,98.99
2560.00,98.99
2559.00,99.00
2558.00,99.00
2557.00,99.00
2556.00,99.00
2555.00,99.00
2554.00,99.00
2553.00,99.00
2552.00,99.00
2551.00,98.99
2550.00,98.99
2549.00,98.99
2548.00,98.98
2547.00,98.98
2546.00,98.98
2545.00,98.98
2544.00,98.99
2543.00,98.99
2542.00,99.00
2541.00,99.00
2540.00,99.01
2539.00,99.01
2538.00,99.01
2537.00,99.01
2536.00,99.01
2535.00,99.01
2534.00,99.01
2533.00,99.01
2532.00,99.01
2531.00,99.01
2530.00,99.02
2529.00,99.01
2528.00,99.01
2527.00,99.01
2526.00,99.01
2525.00,99.01
2524.00,99.01
2523.00,99.01
2522.00,99.00
2521.00,99.00
2520.00,99.00
2519.00,99.00
2518.00,99.00
2517.00,99.00
2516.00,99.00
2515.00,99.00
2514.00,99.00
2513.00,99.00
2512.00,98.99
2511.00,98.99
2510.00,98.99
2509.00,99.00
2508.00,99.00
2507.00,99.00
2506.00,99.00
2505.00,99.00
2504.00,99.01
2503.00,99.01
2502.00,99.01
2501.00,99.02
2500.00,99.02
2499.00,99.02
2498.00,99.03
2497.00,99.03
2496.00,99.03
2495.00,99.03
2494.00,99.03
2493.00,99.03
2492.00,99.03
2491.00,99.03
2490.00,99.03
2489.00,99.03
2488.00,99.04
2487.00,99.04
2486.00,99.04
2485.00,99.05
2484.00,99.05
2483.00,99.05
2482.00,99.05
2481.00,99.06
2480.00,99.06
2479.00,99.06
2478.00,99.07
2477.00,99.07
2476.00,99.07
2475.00,99.08
2474.00,99.08
2473.00,99.09
2472.00,99.09
2471.00,99.09
2470.00,99.10
2469.00,99.10
2468.00,99.10
2467.00,99.10
2466.00,99.10
2465.00,99.10
2464.00,99.10
2463.00,99.11
2462.00,99.11
