Created as New Dataset,PS pellet 35kDa Sigma
cm-1,%T
2771.00,94.18
2770.00,94.19
2769.00,94.19
2768.00,94.20
2767.00,94.20
2766.00,94.21
2765.00,94.21
2764.00,94.22
2763.00,94.22
2762.00,94.22
2761.00,94.23
2760.00,94.23
2759.00,94.24
2758.00,94.24
2757.00,94.24
2756.00,94.25
2755.00,94.25
2754.00,94.25
2753.00,94.26
2752.00,94.26
2751.00,94.26
2750.00,94.26
2749.00,94.27
2748.00,94.27
2747.00,94.27
2746.00,94.27
2745.00,94.27
2744.00,94.27
2743.00,94.27
2742.00,94.28
2741.00,94.28
2740.00,94.28
2739.00,94.28
2738.00,94.28
2737.00,94.27
2736.00,94.27
2735.00,94.27
2734.00,94.27
2733.00,94.27
2732.00,94.27
2731.00,94.27
2730.00,94.27
2729.00,94.27
2728.00,94.27
2727.00,94.27
2726.00,94.27
2725.00,94.27
2724.00,94.27
2723.00,94.28
2722.00,94.28
2721.00,94.29
2720.00,94.29
2719.00,94.29
2718.00,94.29
2717.00,94.30
2716.00,94.30
2715.00,94.30
2714.00,94.30
2713.00,94.30
2712.00,94.30
2711.00,94.30
2710.00,94.30
2709.00,94.31
2708.00,94.31
2707.00,94.31
2706.00,94.31
2705.00,94.31
2704.00,94.32
2703.00,94.32
2702.00,94.32
2701.00,94.32
2700.00,94.32
2699.00,94.32
2698.00,94.33
2697.00,94.33
2696.00,94.33
2695.00,94.33
2694.00,94.33
2693.00,94.33
2692.00,94.33
2691.00,94.33
2690.00,94.33
2689.00,94.34
2688.00,94.34
2687.00,94.34
2686.00,94.34
2685.00,94.34
2684.00,94.33
2683.00,94.34
2682.00,94.34
2681.00,94.34
2680.00,94.34
2679.00,94.34
2678.00,94.35
2677.00,94.35
2676.00,94.35
2675.00,94.34
2674.00,94.34
2673.00,94.34
2672.00,94.34
2671.00,94.34
2670.00,94.34
2669.00,94.35
2668.00,94.35
2667.00,94.35
2666.00,94.34
2665.00,94.34
2664.00,94.33
2663.00,94.32
2662.00,94.31
2661.00,94.30
2660.00,94.29
2659.00,94.28
2658.00,94.27
2657.00,94.26
2656.00,94.26
2655.00,94.25
2654.00,94.25
2653.00,94.24
2652.00,94.23
2651.00,94.23
2650.00,94.22
2649.00,94.22
2648.00,94.22
2647.00,94.22
2646.00,94.21
2645.00,94.21
2644.00,94.21
2643.00,94.20
2642.00,94.19
2641.00,94.19
2640.00,94.19
2639.00,94.18
2638.00,94.17
2637.00,94.17
2636.00,94.16
2635.00,94.15
2634.00,94.14
2633.00,94.14
2632.00,94.13
2631.00,94.13
2630.00,94.13
2629.00,94.13
2628.00,94.14
2627.00,94.15
2626.00,94.15
2625.00,94.16
2624.00,94.16
2623.00,94.17
2622.00,94.17
2621.00,94.18
2620.00,94.17
2619.00,94.17
2618.00,94.17
2617.00,94.17
2616.00,94.17
2615.00,94.17
2614.00,94.17
2613.00,94.16
2612.00,94.16
2611.00,94.15
2610.00,94.15
2609.00,94.15
2608.00,94.14
2607.00,94.14
2606.00,94.13
2605.00,94.13
2604.00,94.13
2603.00,94.13
2602.00,94.13
2601.00,94.13
2600.00,94.13
2599.00,94.13
2598.00,94.13
2597.00,94.14
2596.00,94.15
2595.00,94.15
2594.00,94.16
2593.00,94.16
2592.00,94.17
2591.00,94.17
2590.00,94.17
2589.00,94.17
2588.00,94.16
2587.00,94.16
2586.00,94.15
2585.00,94.15
2584.00,94.15
2583.00,94.15
2582.00,94.14
2581.00,94.14
2580.00,94.14
2579.00,94.14
2578.00,94.14
2577.00,94.14
2576.00,94.15
2575.00,94.15
2574.00,94.16
2573.00,94.16
2572.00,94.17
2571.00,94.17
2570.00,94.17
2569.00,94.18
2568.00,94.18
2567.00,94.19
2566.00,94.19
2565.00,94.19
2564.00,94.19
2563.00,94.18
2562.00,94.18
2561.00,94.18
2560.00,94.18
2559.00,94.18
2558.00,94.17
2557.00,94.17
2556.00,94.17
2555.00,94.18
2554.00,94.18
2553.00,94.18
2552.00,94.18
2551.00,94.18
2550.00,94.18
2549.00,94.18
2548.00,94.18
2547.00,94.18
2546.00,94.18
2545.00,94.18
2544.00,94.18
2543.00,94.19
2542.00,94.19
2541.00,94.19
2540.00,94.20
2539.00,94.20
2538.00,94.20
2537.00,94.20
2536.00,94.20
2535.00,94.20
2534.00,94.20
2533.00,94.20
2532.00,94.20
2531.00,94.20
2530.00,94.20
2529.00,94.20
2528.00,94.20
2527.00,94.20
2526.00,94.20
2525.00,94.20
2524.00,94.20
2523.00,94.20
2522.00,94.20
2521.00,94.20
2520.00,94.20
2519.00,94.20
2518.00,94.20
2517.00,94.20
2516.00,94.20
2515.00,94.20
2514.00,94.20
2513.00,94.20
2512.00,94.20
2511.00,94.20
2510.00,94.20
2509.00,94.20
2508.00,94.21
2507.00,94.21
2506.00,94.20
2505.00,94.20
2504.00,94.21
2503.00,94.21
2502.00,94.22
2501.00,94.22
2500.00,94.22
2499.00,94.22
2498.00,94.22
2497.00,94.22
2496.00,94.22
2495.00,94.23
2494.00,94.23
2493.00,94.23
2492.00,94.23
2491.00,94.23
2490.00,94.23
2489.00,94.23
2488.00,94.23
2487.00,94.23
2486.00,94.23
2485.00,94.23
2484.00,94.23
2483.00,94.23
2482.00,94.23
2481.00,94.24
2480.00,94.24
2479.00,94.25
2478.00,94.25
2477.00,94.25
2476.00,94.26
2475.00,94.26
2474.00,94.26
2473.00,94.26
2472.00,94.26
2471.00,94.27
2470.00,94.27
2469.00,94.26
2468.00,94.26
2467.00,94.26
2466.00,94.26
2465.00,94.26
2464.00,94.26
