Created as New Dataset,Acrylic Blue
cm-1,%T
2570.00,99.19
2569.00,99.19
2568.00,99.19
2567.00,99.20
2566.00,99.20
2565.00,99.19
2564.00,99.19
2563.00,99.19
2562.00,99.18
2561.00,99.19
2560.00,99.19
2559.00,99.19
2558.00,99.19
2557.00,99.19
2556.00,99.19
2555.00,99.19
2554.00,99.19
2553.00,99.19
2552.00,99.18
2551.00,99.18
2550.00,99.18
2549.00,99.19
2548.00,99.20
2547.00,99.21
2546.00,99.21
2545.00,99.20
2544.00,99.20
2543.00,99.19
2542.00,99.19
2541.00,99.20
2540.00,99.20
2539.00,99.20
2538.00,99.19
2537.00,99.19
2536.00,99.19
2535.00,99.20
2534.00,99.20
2533.00,99.21
2532.00,99.21
2531.00,99.21
2530.00,99.21
2529.00,99.21
2528.00,99.21
2527.00,99.21
2526.00,99.21
2525.00,99.21
2524.00,99.21
2523.00,99.21
2522.00,99.21
2521.00,99.22
2520.00,99.22
2519.00,99.22
2518.00,99.22
2517.00,99.22
2516.00,99.23
2515.00,99.23
2514.00,99.23
2513.00,99.23
2512.00,99.23
2511.00,99.23
2510.00,99.23
2509.00,99.23
2508.00,99.23
2507.00,99.24
2506.00,99.24
2505.00,99.23
2504.00,99.23
2503.00,99.22
2502.00,99.22
2501.00,99.23
2500.00,99.23
2499.00,99.23
2498.00,99.22
2497.00,99.22
2496.00,99.22
2495.00,99.22
2494.00,99.22
2493.00,99.22
2492.00,99.22
2491.00,99.23
2490.00,99.23
2489.00,99.23
2488.00,99.23
2487.00,99.23
2486.00,99.23
2485.00,99.23
2484.00,99.23
2483.00,99.23
2482.00,99.24
2481.00,99.24
2480.00,99.24
2479.00,99.24
2478.00,99.24
2477.00,99.24
2476.00,99.24
2475.00,99.24
2474.00,99.24
2473.00,99.23
2472.00,99.23
2471.00,99.23
2470.00,99.23
2469.00,99.22
2468.00,99.22
2467.00,99.22
2466.00,99.22
2465.00,99.22
2464.00,99.22
2463.00,99.22
2462.00,99.22
2461.00,99.22
2460.00,99.22
