Created as New Dataset,PVOH MW 31K
cm-1,%T
2823.00,97.84
2822.00,97.85
2821.00,97.86
2820.00,97.88
2819.00,97.90
2818.00,97.92
2817.00,97.94
2816.00,97.96
2815.00,97.97
2814.00,97.99
2813.00,98.01
2812.00,98.03
2811.00,98.04
2810.00,98.06
2809.00,98.07
2808.00,98.09
2807.00,98.10
2806.00,98.12
2805.00,98.13
2804.00,98.14
2803.00,98.15
2802.00,98.16
2801.00,98.17
2800.00,98.19
2799.00,98.20
2798.00,98.21
2797.00,98.22
2796.00,98.23
2795.00,98.24
2794.00,98.25
2793.00,98.26
2792.00,98.27
2791.00,98.27
2790.00,98.28
2789.00,98.29
2788.00,98.30
2787.00,98.31
2786.00,98.31
2785.00,98.32
2784.00,98.32
2783.00,98.33
2782.00,98.33
2781.00,98.34
2780.00,98.34
2779.00,98.34
2778.00,98.35
2777.00,98.35
2776.00,98.36
2775.00,98.37
2774.00,98.37
2773.00,98.37
2772.00,98.37
2771.00,98.38
2770.00,98.38
2769.00,98.39
2768.00,98.39
2767.00,98.39
2766.00,98.40
2765.00,98.40
2764.00,98.40
2763.00,98.40
2762.00,98.40
2761.00,98.41
2760.00,98.41
2759.00,98.42
2758.00,98.42
2757.00,98.42
2756.00,98.42
2755.00,98.42
2754.00,98.42
2753.00,98.42
2752.00,98.43
2751.00,98.43
2750.00,98.43
2749.00,98.43
2748.00,98.44
2747.00,98.44
2746.00,98.44
2745.00,98.45
2744.00,98.45
2743.00,98.45
2742.00,98.44
2741.00,98.45
2740.00,98.45
2739.00,98.45
2738.00,98.46
2737.00,98.46
2736.00,98.46
2735.00,98.47
2734.00,98.47
2733.00,98.48
2732.00,98.48
2731.00,98.49
2730.00,98.49
2729.00,98.49
2728.00,98.50
2727.00,98.50
2726.00,98.50
2725.00,98.50
2724.00,98.51
2723.00,98.51
2722.00,98.51
2721.00,98.51
2720.00,98.52
2719.00,98.52
2718.00,98.52
2717.00,98.52
2716.00,98.52
2715.00,98.52
2714.00,98.52
2713.00,98.53
2712.00,98.53
2711.00,98.53
2710.00,98.53
2709.00,98.53
2708.00,98.53
2707.00,98.53
2706.00,98.54
2705.00,98.54
2704.00,98.54
2703.00,98.54
2702.00,98.54
2701.00,98.55
2700.00,98.55
2699.00,98.55
2698.00,98.55
2697.00,98.55
2696.00,98.55
2695.00,98.55
2694.00,98.55
2693.00,98.55
2692.00,98.55
2691.00,98.55
2690.00,98.55
2689.00,98.55
2688.00,98.55
2687.00,98.55
2686.00,98.55
2685.00,98.55
2684.00,98.56
2683.00,98.56
2682.00,98.56
2681.00,98.56
2680.00,98.56
2679.00,98.56
2678.00,98.56
2677.00,98.56
2676.00,98.56
2675.00,98.56
2674.00,98.56
2673.00,98.57
2672.00,98.57
2671.00,98.57
2670.00,98.57
2669.00,98.57
2668.00,98.57
2667.00,98.57
2666.00,98.57
2665.00,98.57
2664.00,98.57
2663.00,98.56
2662.00,98.55
2661.00,98.55
2660.00,98.54
2659.00,98.54
2658.00,98.54
2657.00,98.54
2656.00,98.54
2655.00,98.54
2654.00,98.54
2653.00,98.55
2652.00,98.55
2651.00,98.55
2650.00,98.55
2649.00,98.55
2648.00,98.55
2647.00,98.55
2646.00,98.55
2645.00,98.55
2644.00,98.56
2643.00,98.56
2642.00,98.56
2641.00,98.56
2640.00,98.57
2639.00,98.57
2638.00,98.57
2637.00,98.57
2636.00,98.57
2635.00,98.57
2634.00,98.58
2633.00,98.58
2632.00,98.59
2631.00,98.59
2630.00,98.59
2629.00,98.60
2628.00,98.60
2627.00,98.60
2626.00,98.60
2625.00,98.61
2624.00,98.61
2623.00,98.62
2622.00,98.62
2621.00,98.62
2620.00,98.63
2619.00,98.63
2618.00,98.63
2617.00,98.64
2616.00,98.64
2615.00,98.64
2614.00,98.65
2613.00,98.65
2612.00,98.66
2611.00,98.66
2610.00,98.67
2609.00,98.67
2608.00,98.67
2607.00,98.67
2606.00,98.68
2605.00,98.67
2604.00,98.67
2603.00,98.67
2602.00,98.68
2601.00,98.69
2600.00,98.69
2599.00,98.70
2598.00,98.70
2597.00,98.71
2596.00,98.71
2595.00,98.71
2594.00,98.71
2593.00,98.71
2592.00,98.72
2591.00,98.72
2590.00,98.72
2589.00,98.73
2588.00,98.73
2587.00,98.73
2586.00,98.74
2585.00,98.74
2584.00,98.74
2583.00,98.74
2582.00,98.74
2581.00,98.75
2580.00,98.75
2579.00,98.75
2578.00,98.76
2577.00,98.76
2576.00,98.77
2575.00,98.77
2574.00,98.76
2573.00,98.76
2572.00,98.75
2571.00,98.75
2570.00,98.75
2569.00,98.76
2568.00,98.76
2567.00,98.76
2566.00,98.77
2565.00,98.77
2564.00,98.77
2563.00,98.78
2562.00,98.78
2561.00,98.78
2560.00,98.78
2559.00,98.78
2558.00,98.79
2557.00,98.79
2556.00,98.80
2555.00,98.80
2554.00,98.79
2553.00,98.79
2552.00,98.79
2551.00,98.79
2550.00,98.79
2549.00,98.80
2548.00,98.80
2547.00,98.80
2546.00,98.80
2545.00,98.80
2544.00,98.80
2543.00,98.80
2542.00,98.79
2541.00,98.79
2540.00,98.79
2539.00,98.79
2538.00,98.80
2537.00,98.81
2536.00,98.82
2535.00,98.82
2534.00,98.82
2533.00,98.82
2532.00,98.82
2531.00,98.82
2530.00,98.81
2529.00,98.81
2528.00,98.82
2527.00,98.81
2526.00,98.81
2525.00,98.81
2524.00,98.81
2523.00,98.81
2522.00,98.81
2521.00,98.81
2520.00,98.82
2519.00,98.82
2518.00,98.83
2517.00,98.83
2516.00,98.83
2515.00,98.83
2514.00,98.84
2513.00,98.84
2512.00,98.85
2511.00,98.85
2510.00,98.85
2509.00,98.86
2508.00,98.86
2507.00,98.86
2506.00,98.86
2505.00,98.86
2504.00,98.85
2503.00,98.85
2502.00,98.86
2501.00,98.86
2500.00,98.87
2499.00,98.87
2498.00,98.87
2497.00,98.87
2496.00,98.86
2495.00,98.86
2494.00,98.86
2493.00,98.87
2492.00,98.87
2491.00,98.87
2490.00,98.88
2489.00,98.87
2488.00,98.87
2487.00,98.87
2486.00,98.87
2485.00,98.88
2484.00,98.88
2483.00,98.88
2482.00,98.89
2481.00,98.89
2480.00,98.89
2479.00,98.90
2478.00,98.89
2477.00,98.89
2476.00,98.90
2475.00,98.90
2474.00,98.91
2473.00,98.91
2472.00,98.91
2471.00,98.91
2470.00,98.90
2469.00,98.90
2468.00,98.91
2467.00,98.91
2466.00,98.91
2465.00,98.91
2464.00,98.91
2463.00,98.91
2462.00,98.91
2461.00,98.91
