Created as New Dataset,PE (low density) granule 2mm GF
cm-1,%T
2497.00,99.60
2496.00,99.60
2495.00,99.60
2494.00,99.60
2493.00,99.60
2492.00,99.60
2491.00,99.61
2490.00,99.61
2489.00,99.61
2488.00,99.61
2487.00,99.61
2486.00,99.62
2485.00,99.62
2484.00,99.63
2483.00,99.63
2482.00,99.62
2481.00,99.62
2480.00,99.61
2479.00,99.61
2478.00,99.62
2477.00,99.62
2476.00,99.62
2475.00,99.62
2474.00,99.62
2473.00,99.63
2472.00,99.63
2471.00,99.64
2470.00,99.65
2469.00,99.65
2468.00,99.65
2467.00,99.65
2466.00,99.65
2465.00,99.65
2464.00,99.65
