Created as New Dataset,PE (high density) granule GF
cm-1,%T
2529.00,99.57
2528.00,99.57
2527.00,99.57
2526.00,99.57
2525.00,99.57
2524.00,99.58
2523.00,99.59
2522.00,99.60
2521.00,99.60
2520.00,99.61
2519.00,99.61
2518.00,99.62
2517.00,99.62
2516.00,99.63
2515.00,99.64
2514.00,99.64
2513.00,99.65
2512.00,99.65
2511.00,99.65
2510.00,99.65
2509.00,99.64
2508.00,99.65
2507.00,99.65
2506.00,99.66
2505.00,99.66
2504.00,99.66
2503.00,99.66
2502.00,99.66
2501.00,99.66
2500.00,99.66
2499.00,99.66
2498.00,99.67
2497.00,99.67
2496.00,99.67
2495.00,99.68
2494.00,99.68
2493.00,99.67
2492.00,99.67
2491.00,99.68
2490.00,99.68
2489.00,99.68
2488.00,99.68
2487.00,99.68
2486.00,99.68
2485.00,99.68
2484.00,99.68
2483.00,99.68
2482.00,99.68
2481.00,99.68
2480.00,99.68
2479.00,99.68
2478.00,99.67
2477.00,99.67
2476.00,99.66
2475.00,99.66
2474.00,99.66
2473.00,99.67
2472.00,99.67
2471.00,99.68
2470.00,99.70
2469.00,99.71
2468.00,99.72
2467.00,99.73
2466.00,99.73
2465.00,99.74
