Created as New Dataset,PET amorphous
cm-1,%T
3143.00,96.65
3142.00,96.64
3141.00,96.63
3140.00,96.63
3139.00,96.62
3138.00,96.61
3137.00,96.60
3136.00,96.59
3135.00,96.57
3134.00,96.56
3133.00,96.55
3132.00,96.54
3131.00,96.53
3130.00,96.52
3129.00,96.51
3128.00,96.51
3127.00,96.51
3126.00,96.51
3125.00,96.51
3124.00,96.51
3123.00,96.51
3122.00,96.51
3121.00,96.51
3120.00,96.50
3119.00,96.49
3118.00,96.48
3117.00,96.47
3116.00,96.45
3115.00,96.44
3114.00,96.41
3113.00,96.39
3112.00,96.37
3111.00,96.35
3110.00,96.33
3109.00,96.32
3108.00,96.30
3107.00,96.28
3106.00,96.26
3105.00,96.25
3104.00,96.24
3103.00,96.24
3102.00,96.25
3101.00,96.26
3100.00,96.27
3099.00,96.28
3098.00,96.30
3097.00,96.31
3096.00,96.31
3095.00,96.32
3094.00,96.32
3093.00,96.31
3092.00,96.30
3091.00,96.29
3090.00,96.27
3089.00,96.25
3088.00,96.23
3087.00,96.21
3086.00,96.19
3085.00,96.17
3084.00,96.15
3083.00,96.14
3082.00,96.12
3081.00,96.11
3080.00,96.11
3079.00,96.10
3078.00,96.11
3077.00,96.10
3076.00,96.10
3075.00,96.10
3074.00,96.09
3073.00,96.08
3072.00,96.08
3071.00,96.07
3070.00,96.07
3069.00,96.07
3068.00,96.07
3067.00,96.07
3066.00,96.07
3065.00,96.07
3064.00,96.07
3063.00,96.07
3062.00,96.07
3061.00,96.06
3060.00,96.05
3059.00,96.04
3058.00,96.03
3057.00,96.01
3056.00,96.01
3055.00,96.00
3054.00,96.01
3053.00,96.03
3052.00,96.06
3051.00,96.09
3050.00,96.13
3049.00,96.18
3048.00,96.23
3047.00,96.28
3046.00,96.32
3045.00,96.36
3044.00,96.38
3043.00,96.40
3042.00,96.41
3041.00,96.42
3040.00,96.43
3039.00,96.44
3038.00,96.44
3037.00,96.44
3036.00,96.44
3035.00,96.43
3034.00,96.43
3033.00,96.43
3032.00,96.42
3031.00,96.40
3030.00,96.39
3029.00,96.37
3028.00,96.36
3027.00,96.34
3026.00,96.32
3025.00,96.29
3024.00,96.26
3023.00,96.23
3022.00,96.19
3021.00,96.16
3020.00,96.12
3019.00,96.08
3018.00,96.04
3017.00,96.00
3016.00,95.96
3015.00,95.93
3014.00,95.90
3013.00,95.88
3012.00,95.85
3011.00,95.82
3010.00,95.80
3009.00,95.77
3008.00,95.75
3007.00,95.73
3006.00,95.70
3005.00,95.68
3004.00,95.66
3003.00,95.64
3002.00,95.62
3001.00,95.60
3000.00,95.57
2999.00,95.55
2998.00,95.53
2997.00,95.51
2996.00,95.49
2995.00,95.46
2994.00,95.43
2993.00,95.40
2992.00,95.36
2991.00,95.32
2990.00,95.27
2989.00,95.22
2988.00,95.17
2987.00,95.12
2986.00,95.06
2985.00,95.00
2984.00,94.93
2983.00,94.86
2982.00,94.78
2981.00,94.71
2980.00,94.62
2979.00,94.54
2978.00,94.45
2977.00,94.37
2976.00,94.28
2975.00,94.20
2974.00,94.12
2973.00,94.04
2972.00,93.97
2971.00,93.91
2970.00,93.86
2969.00,93.83
2968.00,93.80
2967.00,93.79
2966.00,93.79
2965.00,93.79
2964.00,93.81
2963.00,93.83
2962.00,93.86
2961.00,93.90
2960.00,93.94
2959.00,94.00
2958.00,94.06
2957.00,94.12
2956.00,94.19
2955.00,94.27
2954.00,94.35
2953.00,94.44
2952.00,94.52
2951.00,94.61
2950.00,94.70
2949.00,94.80
2948.00,94.89
2947.00,94.98
2946.00,95.07
2945.00,95.16
2944.00,95.25
2943.00,95.33
2942.00,95.41
2941.00,95.47
2940.00,95.54
2939.00,95.59
2938.00,95.64
2937.00,95.69
2936.00,95.73
2935.00,95.77
2934.00,95.80
2933.00,95.82
2932.00,95.84
2931.00,95.86
2930.00,95.87
2929.00,95.87
2928.00,95.87
2927.00,95.87
2926.00,95.87
2925.00,95.86
2924.00,95.85
2923.00,95.83
2922.00,95.81
2921.00,95.78
2920.00,95.76
2919.00,95.73
2918.00,95.70
2917.00,95.67
2916.00,95.63
2915.00,95.58
2914.00,95.53
2913.00,95.48
2912.00,95.43
2911.00,95.38
2910.00,95.34
2909.00,95.31
2908.00,95.30
2907.00,95.30
2906.00,95.31
2905.00,95.34
2904.00,95.37
2903.00,95.41
2902.00,95.45
2901.00,95.49
2900.00,95.52
2899.00,95.54
2898.00,95.56
2897.00,95.57
2896.00,95.58
2895.00,95.58
2894.00,95.59
2893.00,95.59
2892.00,95.59
2891.00,95.60
2890.00,95.60
2889.00,95.61
2888.00,95.62
2887.00,95.63
2886.00,95.64
2885.00,95.66
2884.00,95.68
2883.00,95.69
2882.00,95.71
2881.00,95.73
2880.00,95.75
2879.00,95.77
2878.00,95.78
2877.00,95.80
2876.00,95.81
2875.00,95.82
2874.00,95.83
2873.00,95.85
2872.00,95.86
2871.00,95.87
2870.00,95.88
2869.00,95.89
2868.00,95.90
2867.00,95.91
2866.00,95.92
2865.00,95.93
2864.00,95.94
2863.00,95.96
2862.00,95.97
2861.00,95.98
2860.00,95.99
2859.00,96.00
2858.00,96.01
2857.00,96.02
2856.00,96.03
2855.00,96.05
2854.00,96.06
2853.00,96.07
2852.00,96.09
2851.00,96.11
2850.00,96.13
2849.00,96.15
2848.00,96.17
2847.00,96.19
2846.00,96.21
2845.00,96.22
2844.00,96.24
2843.00,96.25
2842.00,96.26
2841.00,96.27
2840.00,96.29
2839.00,96.30
2838.00,96.31
2837.00,96.32
2836.00,96.32
2835.00,96.33
2834.00,96.34
2833.00,96.34
2832.00,96.35
2831.00,96.36
2830.00,96.36
2829.00,96.37
2828.00,96.38
2827.00,96.38
2826.00,96.39
2825.00,96.40
2824.00,96.40
2823.00,96.41
2822.00,96.41
2821.00,96.41
2820.00,96.41
2819.00,96.41
2818.00,96.41
2817.00,96.41
2816.00,96.41
2815.00,96.40
2814.00,96.40
2813.00,96.40
2812.00,96.40
2811.00,96.40
2810.00,96.40
2809.00,96.40
2808.00,96.39
2807.00,96.39
2806.00,96.39
2805.00,96.39
2804.00,96.40
2803.00,96.40
2802.00,96.41
2801.00,96.41
2800.00,96.41
2799.00,96.42
2798.00,96.43
2797.00,96.44
2796.00,96.45
2795.00,96.45
2794.00,96.46
2793.00,96.46
2792.00,96.47
2791.00,96.47
2790.00,96.47
2789.00,96.48
2788.00,96.48
2787.00,96.49
2786.00,96.49
2785.00,96.50
2784.00,96.50
2783.00,96.51
2782.00,96.51
2781.00,96.52
2780.00,96.52
2779.00,96.52
2778.00,96.53
2777.00,96.53
2776.00,96.53
2775.00,96.53
2774.00,96.53
2773.00,96.53
2772.00,96.53
2771.00,96.53
2770.00,96.54
2769.00,96.54
2768.00,96.54
2767.00,96.54
2766.00,96.54
2765.00,96.54
2764.00,96.54
2763.00,96.54
2762.00,96.55
2761.00,96.55
2760.00,96.55
2759.00,96.55
2758.00,96.55
2757.00,96.55
2756.00,96.55
2755.00,96.55
2754.00,96.55
2753.00,96.55
2752.00,96.55
2751.00,96.55
2750.00,96.56
2749.00,96.56
2748.00,96.56
2747.00,96.56
2746.00,96.56
2745.00,96.56
2744.00,96.56
2743.00,96.56
2742.00,96.57
2741.00,96.57
2740.00,96.57
2739.00,96.57
2738.00,96.58
2737.00,96.58
2736.00,96.58
2735.00,96.59
2734.00,96.59
2733.00,96.60
2732.00,96.60
2731.00,96.60
2730.00,96.61
2729.00,96.61
2728.00,96.61
2727.00,96.61
2726.00,96.62
2725.00,96.62
2724.00,96.62
2723.00,96.62
2722.00,96.63
2721.00,96.63
2720.00,96.63
2719.00,96.63
2718.00,96.64
2717.00,96.64
2716.00,96.64
2715.00,96.64
2714.00,96.64
2713.00,96.64
2712.00,96.65
2711.00,96.65
2710.00,96.65
2709.00,96.65
2708.00,96.65
2707.00,96.66
2706.00,96.66
2705.00,96.66
2704.00,96.66
2703.00,96.66
2702.00,96.66
2701.00,96.66
2700.00,96.66
2699.00,96.67
2698.00,96.67
2697.00,96.67
2696.00,96.67
2695.00,96.68
2694.00,96.68
2693.00,96.68
2692.00,96.68
2691.00,96.68
2690.00,96.68
2689.00,96.68
2688.00,96.68
2687.00,96.68
2686.00,96.68
2685.00,96.68
2684.00,96.68
2683.00,96.68
2682.00,96.68
2681.00,96.68
2680.00,96.68
2679.00,96.68
2678.00,96.68
2677.00,96.68
2676.00,96.68
2675.00,96.68
2674.00,96.68
2673.00,96.68
2672.00,96.68
2671.00,96.68
2670.00,96.69
2669.00,96.69
2668.00,96.69
2667.00,96.68
2666.00,96.67
2665.00,96.67
2664.00,96.66
2663.00,96.65
2662.00,96.64
2661.00,96.62
2660.00,96.61
2659.00,96.61
2658.00,96.60
2657.00,96.59
2656.00,96.58
2655.00,96.57
2654.00,96.57
2653.00,96.56
2652.00,96.55
2651.00,96.55
2650.00,96.55
2649.00,96.54
2648.00,96.53
2647.00,96.53
2646.00,96.52
2645.00,96.52
2644.00,96.51
2643.00,96.51
2642.00,96.50
2641.00,96.50
2640.00,96.49
2639.00,96.48
2638.00,96.48
2637.00,96.47
2636.00,96.47
2635.00,96.46
2634.00,96.45
2633.00,96.45
2632.00,96.44
2631.00,96.44
2630.00,96.43
2629.00,96.43
2628.00,96.43
2627.00,96.43
2626.00,96.43
2625.00,96.43
2624.00,96.43
2623.00,96.43
2622.00,96.43
2621.00,96.43
2620.00,96.43
2619.00,96.43
2618.00,96.43
2617.00,96.43
2616.00,96.43
2615.00,96.43
2614.00,96.43
2613.00,96.43
2612.00,96.42
2611.00,96.42
2610.00,96.42
2609.00,96.42
2608.00,96.42
2607.00,96.42
2606.00,96.42
2605.00,96.42
2604.00,96.41
2603.00,96.41
2602.00,96.41
2601.00,96.40
2600.00,96.40
2599.00,96.40
2598.00,96.40
2597.00,96.39
2596.00,96.39
2595.00,96.38
2594.00,96.38
2593.00,96.38
2592.00,96.37
2591.00,96.37
2590.00,96.36
